Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
85847291000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.830,1,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
85852041000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.830,1,1.050,1,0.000,0,0.000,0,0.000,0,0,0,
85854416000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.830,1,1.050,1,1.200,1,0.000,0,0.000,0,0,0,
85858541000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.830,1,0.980,1,1.050,1,1.200,1,0.000,0,0,0,
85911666000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.830,1,0.900,1,0.980,1,1.050,1,1.200,1,0,0,
85920416000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.900,1,0.980,1,1.050,1,0,0,
90822166000,0,0,0.200,1,0.000,0,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.900,1,0.980,1,1.050,1,0,0,
90827791000,0.200,1,0.200,1,0.000,0,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.900,1,0.980,1,1.050,1,1,1,90827771000
90827791000,0.200,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.900,1,0.980,1,1.050,1,0,1,
91223166000,0.200,1,0.380,6,0.000,0,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.880,6,0.900,1,0.980,1,0,1,
91227916000,0.200,1,0.380,6,0.130,5,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.880,6,0.900,1,0.980,1,0,1,
91247917000,0.200,1,0.380,6,0.000,0,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.880,6,0.900,1,0.980,1,0,1,
91248292000,0.200,1,0.380,6,0.130,5,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.880,6,0.900,1,0.980,1,0,1,
91308292000,0.200,1,0.380,6,0.130,5,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.880,6,0.900,1,0.980,1,0,1,
91328417000,0.200,1,0.380,6,0.130,5,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.880,6,0.900,1,0.980,1,0,1,
91348416000,0.200,1,0.380,6,0.000,0,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.880,6,0.900,1,0.980,1,0,1,
91348916000,0.200,1,0.380,6,0.130,5,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.880,6,0.900,1,0.980,1,0,1,
91409041000,0.200,1,0.380,6,0.000,0,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.880,6,0.900,1,0.980,1,0,1,
91409166000,0.200,1,0.380,6,0.130,5,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.880,6,0.900,1,0.980,1,0,1,
91429291000,0.200,1,0.380,6,0.000,0,0.000,0,0.000,0,0.000,0,0.780,1,0.830,1,0.880,6,0.900,1,0.980,1,0,1,
