Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95352507000,0,0,1.270,6,0,0,0,0,0,0,0,0,2.020,6,0,0,0,0,0,0,0,0,0,0,
100517078000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102501524000,0,0,1.300,6,0,0,0,0,0,0,0,0,2.050,6,0,0,0,0,0,0,0,0,0,0,
102507662000,0,0,1.300,6,1.180,5,0,0,0,0,0,0,2.050,6,2.180,5,0,0,0,0,0,0,0,0,
102527700000,0,0,1.300,6,0,0,0,0,0,0,0,0,2.050,6,0,0,0,0,0,0,0,0,0,0,
102528113000,0,0,1.300,6,1.180,5,0,0,0,0,0,0,2.050,6,2.180,5,0,0,0,0,0,0,0,0,
102534557000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
102548200000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
102548326000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
102608400000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
102609512000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
102629600000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
102629731000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
102649800000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
102650871000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
102710900000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
102710944000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
102731000000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
102731054000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
102751100000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
102751164000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
102811200000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
102811404000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
102831500000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
102831585000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
102851600000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
102852788000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
102912800000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
102912854000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
102932900000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
102932947000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
102953000000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
102953056000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
103013100000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
103013165000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
103033200000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
103033393000,0,0,1.300,6,1.290,5,1.180,5,0,0,0,0,2.050,6,2.060,5,2.180,5,0,0,0,0,0,0,
103053400000,0,0,1.300,6,1.290,5,0,0,0,0,0,0,2.050,6,2.060,5,0,0,0,0,0,0,0,0,
