Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
91223166000,0,0,9.500,6,0.000,0,0.000,0,0.000,0,0.000,0,9.800,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91223541000,0,0,9.450,6,0.000,0,0.000,0,0.000,0,0.000,0,9.750,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91226791000,0,0,9.450,6,9.250,5,0.000,0,0.000,0,0.000,0,9.750,6,10.000,5,0.000,0,0.000,0,0.000,0,0,0,
91245918000,0,0,9.400,6,9.250,5,0.000,0,0.000,0,0.000,0,9.700,6,10.000,5,0.000,0,0.000,0,0.000,0,0,0,
91246044000,0,0,9.400,6,9.200,5,0.000,0,0.000,0,0.000,0,9.700,6,9.950,5,0.000,0,0.000,0,0.000,0,0,0,
91246168000,0,0,9.350,6,9.200,5,0.000,0,0.000,0,0.000,0,9.650,6,9.950,5,0.000,0,0.000,0,0.000,0,0,0,
91246792000,0,0,9.350,6,9.150,5,0.000,0,0.000,0,0.000,0,9.650,6,9.900,5,0.000,0,0.000,0,0.000,0,0,0,
91300418000,0,0,9.300,6,9.150,5,0.000,0,0.000,0,0.000,0,9.600,6,9.900,5,0.000,0,0.000,0,0.000,0,0,0,
91300792000,0,0,9.300,6,9.100,5,0.000,0,0.000,0,0.000,0,9.600,6,9.850,5,0.000,0,0.000,0,0.000,0,0,0,
91308917000,0,0,9.250,6,9.100,5,0.000,0,0.000,0,0.000,0,9.550,6,9.850,5,0.000,0,0.000,0,0.000,0,0,0,
91309167000,0,0,9.250,6,9.050,5,0.000,0,0.000,0,0.000,0,9.550,6,9.800,5,0.000,0,0.000,0,0.000,0,0,0,
91310666000,0,0,9.300,6,9.050,5,0.000,0,0.000,0,0.000,0,9.600,6,9.800,5,0.000,0,0.000,0,0.000,0,0,0,
91311041000,0,0,9.300,6,9.100,5,0.000,0,0.000,0,0.000,0,9.600,6,9.850,5,0.000,0,0.000,0,0.000,0,0,0,
91313292000,0,0,9.350,6,9.100,5,0.000,0,0.000,0,0.000,0,9.650,6,9.850,5,0.000,0,0.000,0,0.000,0,0,0,
91313417000,0,0,9.350,6,9.150,5,0.000,0,0.000,0,0.000,0,9.650,6,9.900,5,0.000,0,0.000,0,0.000,0,0,0,
91325917000,0,0,9.400,6,9.150,5,0.000,0,0.000,0,0.000,0,9.700,6,9.900,5,0.000,0,0.000,0,0.000,0,0,0,
91327416000,0,0,9.400,6,9.200,5,0.000,0,0.000,0,0.000,0,9.700,6,9.950,5,0.000,0,0.000,0,0.000,0,0,0,
91347416000,0,0,9.400,6,0.000,0,0.000,0,0.000,0,0.000,0,9.700,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91347917000,0,0,9.400,6,9.200,5,0.000,0,0.000,0,0.000,0,9.700,6,9.950,5,0.000,0,0.000,0,0.000,0,0,0,
91351292000,0,0,9.450,6,9.200,5,0.000,0,0.000,0,0.000,0,9.750,6,9.950,5,0.000,0,0.000,0,0.000,0,0,0,
91351666000,0,0,9.450,6,9.250,5,0.000,0,0.000,0,0.000,0,9.750,6,10.000,5,0.000,0,0.000,0,0.000,0,0,0,
91356792000,0,0,9.400,6,9.250,5,0.000,0,0.000,0,0.000,0,9.700,6,10.000,5,0.000,0,0.000,0,0.000,0,0,0,
91357918000,0,0,9.400,6,9.200,5,0.000,0,0.000,0,0.000,0,9.700,6,9.950,5,0.000,0,0.000,0,0.000,0,0,0,
91410292000,0,0,9.450,6,9.200,5,0.000,0,0.000,0,0.000,0,9.750,6,9.950,5,0.000,0,0.000,0,0.000,0,0,0,
91410542000,0,0,9.450,6,9.250,5,0.000,0,0.000,0,0.000,0,9.750,6,10.000,5,0.000,0,0.000,0,0.000,0,0,0,
91415168000,0,0,9.400,6,9.250,5,0.000,0,0.000,0,0.000,0,9.700,6,10.000,5,0.000,0,0.000,0,0.000,0,0,0,
91415292000,0,0,9.400,6,9.200,5,0.000,0,0.000,0,0.000,0,9.700,6,9.950,5,0.000,0,0.000,0,0.000,0,0,0,
91425666000,0,0,9.450,6,9.200,5,0.000,0,0.000,0,0.000,0,9.750,6,9.950,5,0.000,0,0.000,0,0.000,0,0,0,
