Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95351028000,0,0,4.160,6,0,0,0,0,0,0,0,0,4.660,6,0,0,0,0,0,0,0,0,0,0,
95824045000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95824045000,0,0,4.250,6,0,0,0,0,0,0,0,0,4.750,6,0,0,0,0,0,0,0,0,0,0,
95935550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95935550000,0,0,4.340,6,0,0,0,0,0,0,0,0,4.840,6,0,0,0,0,0,0,0,0,0,0,
100415071000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100415071000,0,0,4.250,6,0,0,0,0,0,0,0,0,4.750,6,0,0,0,0,0,0,0,0,0,0,
100438238000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100438238000,0,0,4.160,6,0,0,0,0,0,0,0,0,4.660,6,0,0,0,0,0,0,0,0,0,0,
100507281000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100507281000,0,0,4.080,6,0,0,0,0,0,0,0,0,4.580,6,0,0,0,0,0,0,0,0,0,0,
100517078000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102501523000,0,0,4.300,6,0,0,0,0,0,0,0,0,4.800,6,0,0,0,0,0,0,0,0,0,0,
102507652000,0,0,4.300,6,4.180,5,0,0,0,0,0,0,4.800,6,4.930,5,0,0,0,0,0,0,0,0,
102527700000,0,0,4.300,6,0,0,0,0,0,0,0,0,4.800,6,0,0,0,0,0,0,0,0,0,0,
102528099000,0,0,4.300,6,4.180,5,0,0,0,0,0,0,4.800,6,4.930,5,0,0,0,0,0,0,0,0,
102536229000,0,0,4.300,6,4.290,5,4.180,5,0,0,0,0,4.800,6,4.810,5,4.930,5,0,0,0,0,0,0,
102548100000,0,0,4.300,6,4.290,5,0,0,0,0,0,0,4.800,6,4.810,5,0,0,0,0,0,0,0,0,
102548200000,0,0,4.300,6,4.290,5,4.180,5,0,0,0,0,4.800,6,4.810,5,4.930,5,0,0,0,0,0,0,
102608300000,0,0,4.300,6,4.290,5,0,0,0,0,0,0,4.800,6,4.810,5,0,0,0,0,0,0,0,0,
102609441000,0,0,4.300,6,4.290,5,4.180,5,0,0,0,0,4.800,6,4.810,5,4.930,5,0,0,0,0,0,0,
102629500000,0,0,4.300,6,4.290,5,0,0,0,0,0,0,4.800,6,4.810,5,0,0,0,0,0,0,0,0,
102629615000,0,0,4.300,6,4.290,5,4.180,5,0,0,0,0,4.800,6,4.810,5,4.930,5,0,0,0,0,0,0,
102641241000,0,0,4.290,5,4.180,5,0,0,0,0,0,0,4.810,5,4.930,5,0,0,0,0,0,0,0,0,
102641241000,0,0,4.290,5,4.220,6,4.180,5,0,0,0,0,4.720,6,4.810,5,4.930,5,0,0,0,0,0,0,
102641303000,0,0,4.220,6,4.180,5,0,0,0,0,0,0,4.720,6,4.930,5,0,0,0,0,0,0,0,0,
102641303000,0,0,4.220,6,4.210,5,4.180,5,0,0,0,0,4.720,6,4.730,5,4.930,5,0,0,0,0,0,0,
102641350000,0,0,4.220,6,4.210,5,0,0,0,0,0,0,4.720,6,4.730,5,0,0,0,0,0,0,0,0,
102641350000,0,0,4.220,6,4.210,5,4.130,5,0,0,0,0,4.720,6,4.730,5,4.880,5,0,0,0,0,0,0,
102641459000,0,0,4.220,6,4.210,5,0,0,0,0,0,0,4.720,6,4.730,5,0,0,0,0,0,0,0,0,
102641459000,0,0,4.220,6,4.210,5,4.100,5,0,0,0,0,4.720,6,4.730,5,4.850,5,0,0,0,0,0,0,
102701500000,0,0,4.220,6,4.210,5,0,0,0,0,0,0,4.720,6,4.730,5,0,0,0,0,0,0,0,0,
102701585000,0,0,4.220,6,4.210,5,4.100,5,0,0,0,0,4.720,6,4.730,5,4.850,5,0,0,0,0,0,0,
102721600000,0,0,4.220,6,4.210,5,0,0,0,0,0,0,4.720,6,4.730,5,0,0,0,0,0,0,0,0,
102721663000,0,0,4.220,6,4.210,5,4.100,5,0,0,0,0,4.720,6,4.730,5,4.850,5,0,0,0,0,0,0,
102741700000,0,0,4.220,6,4.210,5,0,0,0,0,0,0,4.720,6,4.730,5,0,0,0,0,0,0,0,0,
102741773000,0,0,4.220,6,4.210,5,4.100,5,0,0,0,0,4.720,6,4.730,5,4.850,5,0,0,0,0,0,0,
102801800000,0,0,4.220,6,4.210,5,0,0,0,0,0,0,4.720,6,4.730,5,0,0,0,0,0,0,0,0,
102801850000,0,0,4.220,6,4.210,5,4.100,5,0,0,0,0,4.720,6,4.730,5,4.850,5,0,0,0,0,0,0,
102821900000,0,0,4.220,6,4.210,5,0,0,0,0,0,0,4.720,6,4.730,5,0,0,0,0,0,0,0,0,
102821961000,0,0,4.220,6,4.210,5,4.100,5,0,0,0,0,4.720,6,4.730,5,4.850,5,0,0,0,0,0,0,
102842000000,0,0,4.220,6,4.210,5,0,0,0,0,0,0,4.720,6,4.730,5,0,0,0,0,0,0,0,0,
102842036000,0,0,4.220,6,4.210,5,4.100,5,0,0,0,0,4.720,6,4.730,5,4.850,5,0,0,0,0,0,0,
