Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
91223166000,0,0,1.190,6,0.000,0,0.000,0,0.000,0,0.000,0,1.740,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91227916000,0,0,1.190,6,0.970,5,0.000,0,0.000,0,0.000,0,1.740,6,1.970,5,0.000,0,0.000,0,0.000,0,0,0,
91243293000,0,0,1.180,6,0.970,5,0.000,0,0.000,0,0.000,0,1.730,6,1.970,5,0.000,0,0.000,0,0.000,0,0,0,
91243543000,0,0,1.180,6,0.960,5,0.000,0,0.000,0,0.000,0,1.730,6,1.960,5,0.000,0,0.000,0,0.000,0,0,0,
91245918000,0,0,1.160,6,0.960,5,0.000,0,0.000,0,0.000,0,1.710,6,1.960,5,0.000,0,0.000,0,0.000,0,0,0,
91246044000,0,0,1.160,6,0.940,5,0.000,0,0.000,0,0.000,0,1.710,6,1.940,5,0.000,0,0.000,0,0.000,0,0,0,
91246168000,0,0,1.150,6,0.940,5,0.000,0,0.000,0,0.000,0,1.710,6,1.940,5,0.000,0,0.000,0,0.000,0,0,0,
91246792000,0,0,1.150,6,0.930,5,0.000,0,0.000,0,0.000,0,1.710,6,1.930,5,0.000,0,0.000,0,0.000,0,0,0,
91251793000,0,0,1.150,6,0.930,5,0.000,0,0.000,0,0.000,0,1.680,6,1.930,5,0.000,0,0.000,0,0.000,0,0,0,
91251918000,0,0,1.150,6,0.920,5,0.000,0,0.000,0,0.000,0,1.680,6,1.920,5,0.000,0,0.000,0,0.000,0,0,0,
91252293000,0,0,1.150,6,0.920,5,0.000,0,0.000,0,0.000,0,1.700,6,1.920,5,0.000,0,0.000,0,0.000,0,0,0,
91252417000,0,0,1.150,6,0.930,5,0.000,0,0.000,0,0.000,0,1.700,6,1.930,5,0.000,0,0.000,0,0.000,0,0,0,
91300419000,0,0,1.150,6,0.930,5,0.000,0,0.000,0,0.000,0,1.670,6,1.930,5,0.000,0,0.000,0,0.000,0,0,0,
91300792000,0,0,1.140,6,0.910,5,0.000,0,0.000,0,0.000,0,1.670,6,1.910,5,0.000,0,0.000,0,0.000,0,0,0,
91308292000,0,0,1.150,6,0.910,5,0.000,0,0.000,0,0.000,0,1.680,6,1.910,5,0.000,0,0.000,0,0.000,0,0,0,
91308416000,0,0,1.150,6,0.920,5,0.000,0,0.000,0,0.000,0,1.680,6,1.920,5,0.000,0,0.000,0,0.000,0,0,0,
91308917000,0,0,1.130,6,0.920,5,0.000,0,0.000,0,0.000,0,1.680,6,1.920,5,0.000,0,0.000,0,0.000,0,0,0,
91309167000,0,0,1.130,6,0.910,5,0.000,0,0.000,0,0.000,0,1.680,6,1.910,5,0.000,0,0.000,0,0.000,0,0,0,
91314041000,0,0,1.150,6,0.910,5,0.000,0,0.000,0,0.000,0,1.700,6,1.910,5,0.000,0,0.000,0,0.000,0,0,0,
91314916000,0,0,1.150,6,0.930,5,0.000,0,0.000,0,0.000,0,1.700,6,1.930,5,0.000,0,0.000,0,0.000,0,0,0,
91324667000,0,0,1.150,6,0.930,5,0.000,0,0.000,0,0.000,0,1.710,6,1.930,5,0.000,0,0.000,0,0.000,0,0,0,
91334916000,0,0,1.150,6,0.000,0,0.000,0,0.000,0,0.000,0,1.710,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91335291000,0,0,1.150,6,0.930,5,0.000,0,0.000,0,0.000,0,1.710,6,1.930,5,0.000,0,0.000,0,0.000,0,0,0,
91349167000,0,0,1.160,6,0.930,5,0.000,0,0.000,0,0.000,0,1.730,6,1.930,5,0.000,0,0.000,0,0.000,0,0,0,
91349792000,0,0,1.160,6,0.950,5,0.000,0,0.000,0,0.000,0,1.730,6,1.950,5,0.000,0,0.000,0,0.000,0,0,0,
91358541000,0,0,1.160,6,0.950,5,0.000,0,0.000,0,0.000,0,1.700,6,1.950,5,0.000,0,0.000,0,0.000,0,0,0,
91359042000,0,0,1.160,6,0.930,5,0.000,0,0.000,0,0.000,0,1.700,6,1.930,5,0.000,0,0.000,0,0.000,0,0,0,
91359170000,0,0,1.160,6,0.930,5,0.000,0,0.000,0,0.000,0,1.710,6,1.930,5,0.000,0,0.000,0,0.000,0,0,0,
91359416000,0,0,1.160,6,0.940,5,0.000,0,0.000,0,0.000,0,1.710,6,1.940,5,0.000,0,0.000,0,0.000,0,0,0,
91410292000,0,0,1.180,6,0.940,5,0.000,0,0.000,0,0.000,0,1.730,6,1.940,5,0.000,0,0.000,0,0.000,0,0,0,
91410791000,0,0,1.180,6,0.960,5,0.000,0,0.000,0,0.000,0,1.730,6,1.960,5,0.000,0,0.000,0,0.000,0,0,0,
91415168000,0,0,1.160,6,0.960,5,0.000,0,0.000,0,0.000,0,1.710,6,1.960,5,0.000,0,0.000,0,0.000,0,0,0,
91415292000,0,0,1.160,6,0.940,5,0.000,0,0.000,0,0.000,0,1.710,6,1.940,5,0.000,0,0.000,0,0.000,0,0,0,
