Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95352507000,0,0,0.730,6,0,0,0,0,0,0,0,0,1.480,6,0,0,0,0,0,0,0,0,0,0,
100517078000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102501523000,0,0,0.690,6,0,0,0,0,0,0,0,0,1.440,6,0,0,0,0,0,0,0,0,0,0,
102507660000,0,0,0.690,6,0.570,5,0,0,0,0,0,0,1.440,6,1.570,5,0,0,0,0,0,0,0,0,
102527700000,0,0,0.690,6,0,0,0,0,0,0,0,0,1.440,6,0,0,0,0,0,0,0,0,0,0,
102528110000,0,0,0.690,6,0.570,5,0,0,0,0,0,0,1.440,6,1.570,5,0,0,0,0,0,0,0,0,
102534556000,0,0,0.690,6,0.680,5,0.570,5,0,0,0,0,1.440,6,1.490,5,1.570,5,0,0,0,0,0,0,
102534676000,0,0,0.690,6,0.570,5,0,0,0,0,0,0,1.440,6,1.570,5,0,0,0,0,0,0,0,0,
102534676000,0,0,0.690,6,0.680,5,0.570,5,0,0,0,0,1.440,6,1.530,5,1.570,5,0,0,0,0,0,0,
102548200000,0,0,0.690,6,0.680,5,0,0,0,0,0,0,1.440,6,1.530,5,0,0,0,0,0,0,0,0,
102548261000,0,0,0.690,6,0,0,0,0,0,0,0,0,1.440,6,0,0,0,0,0,0,0,0,0,0,
102548261000,0,0,0.690,6,0.680,5,0,0,0,0,0,0,1.440,6,1.490,5,0,0,0,0,0,0,0,0,
102548323000,0,0,0.690,6,0.680,5,0.570,5,0,0,0,0,1.440,6,1.490,5,1.570,5,0,0,0,0,0,0,
102548382000,0,0,0.690,6,0.570,5,0,0,0,0,0,0,1.440,6,1.570,5,0,0,0,0,0,0,0,0,
102548382000,0,0,0.690,6,0.680,5,0.570,5,0,0,0,0,1.440,6,1.530,5,1.570,5,0,0,0,0,0,0,
102608400000,0,0,0.690,6,0.680,5,0,0,0,0,0,0,1.440,6,1.530,5,0,0,0,0,0,0,0,0,
102608514000,0,0,0.690,6,0,0,0,0,0,0,0,0,1.440,6,0,0,0,0,0,0,0,0,0,0,
102608514000,0,0,0.690,6,0.680,5,0,0,0,0,0,0,1.440,6,1.490,5,0,0,0,0,0,0,0,0,
102609508000,0,0,0.690,6,0.680,5,0.570,5,0,0,0,0,1.440,6,1.490,5,1.570,5,0,0,0,0,0,0,
102609629000,0,0,0.690,6,0.570,5,0,0,0,0,0,0,1.440,6,1.570,5,0,0,0,0,0,0,0,0,
102609629000,0,0,0.690,6,0.680,5,0.570,5,0,0,0,0,1.440,6,1.530,5,1.570,5,0,0,0,0,0,0,
102629600000,0,0,0.690,6,0.680,5,0,0,0,0,0,0,1.440,6,1.530,5,0,0,0,0,0,0,0,0,
