Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95521331000,0,0,0.100,6,0,0,0,0,0,0,0,0,0.150,6,0,0,0,0,0,0,0,0,0,0,
95531840000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105011455000,0,0,0.010,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105011455000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.620,6,0,0,0,0,0,0,0,0,0,0,
105057020000,0,0,0,0,0,0,0,0,0,0,0,0,0.620,6,0,0,0,0,0,0,0,0,0,0,
105057020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111045750000,0,0,0.080,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
111051187000,0,0,0.080,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
111111200000,0,0,0.080,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
111111296000,0,0,0.080,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
111131300000,0,0,0.080,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
111131312000,0,0,0.080,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
111136587000,0,0,0.060,5,0,0,0,0,0,0,0,0,0.160,5,0,0,0,0,0,0,0,0,0,0,
111136657000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112440174000,0,0,0.080,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
112446047000,0,0,0.080,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
112454934000,0,0,0.060,5,0,0,0,0,0,0,0,0,0.160,5,0,0,0,0,0,0,0,0,0,0,
112455077000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113943422000,0,0,0.080,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
113946020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130459473000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130505465000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130525500000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130525540000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130545600000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130545620000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130605700000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130605778000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130625800000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130625807000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130645900000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130645994000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130706000000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130706022000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130726100000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130726252000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130746300000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130746322000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130806400000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130806431000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130826500000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130826573000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130846600000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130846682000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130906700000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130906886000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130926900000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130927248000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
130947300000,0,0,0.090,6,0,0,0,0,0,0,0,0,0.130,6,0,0,0,0,0,0,0,0,0,0,
130947324000,0,0,0.090,6,0.060,5,0,0,0,0,0,0,0.130,6,0.160,5,0,0,0,0,0,0,0,0,
