Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
100804791000,0,0,0.290,5,0.000,0,0.000,0,0.000,0,0.000,0,0.380,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101145666000,0,0,0.300,5,0.290,5,0.000,0,0.000,0,0.000,0,0.380,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101429291000,0,0,0.300,10,0.290,5,0.000,0,0.000,0,0.000,0,0.370,5,0.380,5,0.000,0,0.000,0,0.000,0,0,0,
101554166000,0,0,0.310,5,0.300,10,0.290,5,0.000,0,0.000,0,0.370,5,0.380,5,0.000,0,0.000,0,0.000,0,0,0,
101609291000,0,0,0.310,5,0.300,5,0.290,10,0.000,0,0.000,0,0.360,5,0.380,5,0.000,0,0.000,0,0.000,0,0,0,
101618041000,0,0,0.310,5,0.300,10,0.290,5,0.000,0,0.000,0,0.370,5,0.380,5,0.000,0,0.000,0,0.000,0,0,0,
101649291000,0,0,0.310,5,0.300,5,0.290,10,0.000,0,0.000,0,0.360,5,0.380,5,0.000,0,0.000,0,0.000,0,0,0,
101704041000,0,0,0.310,5,0.300,5,0.290,10,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.000,0,0.000,0,0,0,
101724042000,0,0,0.310,5,0.300,5,0.290,10,0.000,0,0.000,0,0.360,5,0.380,5,0.000,0,0.000,0,0.000,0,0,0,
101724166000,0,0,0.310,5,0.300,5,0.290,10,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.000,0,0.000,0,0,0,
101744166000,0,0,0.310,5,0.300,5,0.290,10,0.000,0,0.000,0,0.360,5,0.380,5,0.000,0,0.000,0,0.000,0,0,0,
101748292000,0,0,0.310,5,0.300,5,0.290,10,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.000,0,0.000,0,0,0,
101808416000,0,0,0.310,5,0.300,5,0.290,10,0.000,0,0.000,0,0.360,5,0.380,5,0.000,0,0.000,0,0.000,0,0,0,
101808541000,0,0,0.310,5,0.300,5,0.290,16,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
101809666000,0,0,0.310,5,0.300,5,0.290,16,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.410,6,0.000,0,0,0,
101829666000,0,0,0.310,5,0.300,5,0.290,16,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
101831916000,0,0,0.310,5,0.300,5,0.290,16,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.410,6,0.000,0,0,0,
101851916000,0,0,0.310,5,0.300,5,0.290,16,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
101854791000,0,0,0.310,5,0.300,5,0.290,16,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.410,6,0.000,0,0,0,
101914916000,0,0,0.310,5,0.300,5,0.290,16,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
101916916000,0,0,0.310,5,0.300,5,0.290,16,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.410,6,0.000,0,0,0,
101936916000,0,0,0.310,5,0.300,5,0.290,16,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
101937167000,0,0,0.310,5,0.300,5,0.290,16,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.410,6,0.000,0,0,0,
101957291000,0,0,0.310,5,0.300,5,0.290,16,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
101957417000,0,0,0.310,5,0.300,5,0.290,16,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.410,6,0.000,0,0,0,
102017417000,0,0,0.310,5,0.300,5,0.290,16,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
102017666000,0,0,0.310,5,0.300,5,0.290,16,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.410,6,0.000,0,0,0,
102037791000,0,0,0.310,5,0.300,5,0.290,16,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.410,6,0.000,0,0,0,
102057916000,0,0,0.310,5,0.300,5,0.290,16,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
102058041000,0,0,0.310,5,0.300,5,0.290,16,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.410,6,0.000,0,0,0,
102118041000,0,0,0.310,5,0.300,5,0.290,16,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
102118666000,0,0,0.310,5,0.300,5,0.290,16,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.410,6,0.000,0,0,0,
102138666000,0,0,0.310,5,0.300,5,0.290,16,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
102140167000,0,0,0.310,5,0.300,5,0.290,16,0.280,5,0.000,0,0.360,5,0.380,5,0.400,5,0.410,6,0.000,0,0,0,
102144666000,0,0,0.300,5,0.290,21,0.280,5,0.000,0,0.000,0,0.360,5,0.380,5,0.400,5,0.410,6,0.000,0,0,0,
102145041000,0,0,0.300,5,0.290,21,0.270,5,0.000,0,0.000,0,0.360,5,0.380,5,0.390,5,0.410,6,0.000,0,0,0,
102205041000,0,0,0.300,5,0.290,21,0.000,0,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
102205666000,0,0,0.300,5,0.290,21,0.270,5,0.000,0,0.000,0,0.360,5,0.380,5,0.390,5,0.410,6,0.000,0,0,0,
102225666000,0,0,0.300,5,0.290,21,0.000,0,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
102226291000,0,0,0.300,5,0.290,21,0.270,5,0.000,0,0.000,0,0.360,5,0.380,5,0.390,5,0.410,6,0.000,0,0,0,
102246416000,0,0,0.300,5,0.290,21,0.000,0,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
102247291000,0,0,0.300,5,0.290,21,0.270,5,0.000,0,0.000,0,0.360,5,0.380,5,0.390,5,0.410,6,0.000,0,0,0,
102307416000,0,0,0.300,5,0.290,21,0.000,0,0.000,0,0.000,0,0.360,5,0.380,5,0.410,6,0.000,0,0.000,0,0,0,
