Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
110433541000,0,0,3.560,6,0.000,0,0.000,0,0.000,0,0.000,0,4.090,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110507417000,0,0,3.550,6,0.000,0,0.000,0,0.000,0,0.000,0,4.080,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110510916000,0,0,3.550,11,0.000,0,0.000,0,0.000,0,0.000,0,4.080,11,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110512291000,0,0,3.560,6,3.550,5,0.000,0,0.000,0,0.000,0,4.080,5,4.090,6,0.000,0,0.000,0,0.000,0,0,0,
110515416000,0,0,3.550,11,0.000,0,0.000,0,0.000,0,0.000,0,4.080,11,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110535916000,0,0,3.560,6,3.550,5,0.000,0,0.000,0,0.000,0,4.080,5,4.090,6,0.000,0,0.000,0,0.000,0,0,0,
110539916000,0,0,3.550,11,0.000,0,0.000,0,0.000,0,0.000,0,4.080,11,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110541666000,0,0,3.560,6,3.550,5,0.000,0,0.000,0,0.000,0,4.080,5,4.090,6,0.000,0,0.000,0,0.000,0,0,0,
110541791000,0,0,3.550,11,0.000,0,0.000,0,0.000,0,0.000,0,4.080,11,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110541919000,0,0,3.700,6,3.550,11,0.000,0,0.000,0,0.000,0,3.950,6,4.080,11,0.000,0,0.000,0,0.000,0,0,0,
110542044000,0,0,3.700,6,3.680,5,3.560,5,3.550,6,0.000,0,3.950,6,3.970,5,4.080,6,4.090,5,0.000,0,0,0,
110542167000,0,0,3.700,6,3.680,5,3.560,10,3.550,6,0.000,0,3.950,6,3.970,5,4.080,6,4.090,10,0.000,0,0,0,
110549167000,0,0,3.700,6,3.680,5,3.560,16,0.000,0,0.000,0,3.950,6,3.970,5,4.090,16,0.000,0,0.000,0,0,0,
110549292000,0,0,3.700,6,3.680,5,3.580,5,3.560,11,0.000,0,3.950,6,3.970,5,4.090,11,4.110,5,0.000,0,0,0,
110549417000,0,0,3.700,6,3.680,5,3.580,5,3.560,5,3.550,6,3.950,6,3.970,5,4.080,6,4.090,5,4.110,5,0,0,
110549791000,0,0,3.700,6,3.680,5,3.580,5,3.560,11,0.000,0,3.950,6,3.970,5,4.090,11,4.110,5,0.000,0,0,0,
110550041000,0,0,3.700,6,3.680,5,3.570,5,3.560,11,0.000,0,3.950,6,3.970,5,4.090,11,4.100,5,0.000,0,0,0,
110550667000,0,0,3.700,6,3.680,5,3.650,5,3.570,5,3.560,6,3.950,6,3.970,5,4.010,5,4.090,6,4.100,5,0,0,
110552416000,0,0,3.700,6,3.680,5,3.650,5,3.580,5,3.560,6,3.950,6,3.970,5,4.010,5,4.090,6,4.110,5,0,0,
110553166000,0,0,3.700,6,3.680,5,3.650,5,3.580,5,3.550,6,3.950,6,3.970,5,4.010,5,4.080,6,4.110,5,0,0,
110557291000,0,0,3.700,6,3.680,5,3.650,5,3.570,5,3.550,6,3.950,6,3.970,5,4.010,5,4.080,6,4.100,5,0,0,
110602916000,0,0,3.700,6,3.680,5,3.650,5,3.550,6,3.540,5,3.950,6,3.970,5,4.010,5,4.070,5,4.080,6,0,0,
110607668000,0,0,3.700,6,3.680,5,3.650,5,3.560,5,3.550,6,3.950,6,3.970,5,4.010,5,4.080,6,4.090,5,0,0,
110608291000,0,0,3.700,6,3.680,5,3.650,5,3.560,5,3.540,6,3.950,6,3.970,5,4.010,5,4.060,6,4.090,5,0,0,
110609416000,0,0,3.700,6,3.680,5,3.650,5,3.560,5,3.550,6,3.950,6,3.970,5,4.010,5,4.080,6,4.090,5,0,0,
110610667000,0,0,3.700,6,3.680,5,3.560,5,3.550,6,0.000,0,3.950,6,3.970,5,4.080,6,4.090,5,0.000,0,0,0,
110612417000,0,0,3.700,6,3.680,5,3.650,5,3.560,5,3.550,6,3.950,6,3.970,5,4.010,5,4.080,6,4.090,5,0,0,
110612666000,0,0,3.700,6,3.680,5,3.650,5,3.560,5,3.540,6,3.950,6,3.970,5,4.010,5,4.060,6,4.090,5,0,0,
110614041000,0,0,3.700,6,3.680,5,3.650,5,3.570,5,3.540,6,3.950,6,3.970,5,4.010,5,4.060,6,4.100,5,0,0,
110630418000,0,0,3.700,6,3.680,5,3.650,5,3.570,5,3.550,6,3.950,6,3.970,5,4.010,5,4.080,6,4.100,5,0,0,
110630916000,0,0,3.700,6,3.680,5,3.650,5,3.550,6,3.540,5,3.950,6,3.970,5,4.010,5,4.070,5,4.080,6,0,0,
110632417000,0,0,3.700,6,3.680,5,3.550,6,3.540,5,0.000,0,3.950,6,3.970,5,4.070,5,4.080,6,0.000,0,0,0,
110634167000,0,0,3.700,6,3.680,5,3.650,5,3.550,6,3.540,5,3.950,6,3.970,5,4.010,5,4.070,5,4.080,6,0,0,
110638046000,0,0,3.690,6,3.680,5,3.650,5,3.550,6,3.540,5,3.940,6,3.970,5,4.010,5,4.070,5,4.080,6,0,0,
110638168000,0,0,3.690,6,3.670,5,3.640,5,3.550,6,3.540,5,3.940,6,3.960,5,4.000,5,4.070,5,4.080,6,0,0,
110638666000,0,0,3.690,6,3.670,5,3.640,5,3.540,11,0.000,0,3.940,6,3.960,5,4.000,5,4.060,6,4.070,5,0,0,
110638918000,0,0,3.690,6,3.670,5,3.640,5,3.540,6,3.530,5,3.940,6,3.960,5,4.000,5,4.050,5,4.060,6,0,0,
110641291000,0,0,3.690,6,3.670,5,3.640,5,3.540,11,0.000,0,3.940,6,3.960,5,4.000,5,4.060,6,4.070,5,0,0,
110642666000,0,0,3.680,6,3.670,5,3.640,5,3.540,11,0.000,0,3.930,6,3.960,5,4.000,5,4.060,6,4.070,5,0,0,
110642791000,0,0,3.680,6,3.660,5,3.640,5,3.540,11,0.000,0,3.930,6,3.950,5,4.000,5,4.060,6,4.070,5,0,0,
110643167000,0,0,3.680,6,3.660,5,3.630,5,3.540,11,0.000,0,3.930,6,3.950,5,3.990,5,4.060,6,4.070,5,0,0,
110654041000,0,0,3.680,6,3.660,5,3.630,5,3.540,6,3.530,5,3.930,6,3.950,5,3.990,5,4.050,5,4.060,6,0,0,
110654916000,0,0,3.680,6,3.660,5,3.630,5,3.560,5,3.540,6,3.930,6,3.950,5,3.990,5,4.060,6,4.090,5,0,0,
110656041000,0,0,3.680,6,3.660,5,3.630,5,3.560,5,3.530,6,3.930,6,3.950,5,3.990,5,4.050,6,4.090,5,0,0,
110703167000,0,0,3.680,6,3.660,5,3.560,5,3.530,6,0.000,0,3.930,6,3.950,5,4.050,6,4.090,5,0.000,0,0,0,
110705792000,0,0,3.680,6,3.660,5,3.630,5,3.560,5,3.530,6,3.930,6,3.950,5,3.990,5,4.050,6,4.090,5,0,0,
110708416000,0,0,3.680,6,3.660,5,3.630,5,3.530,11,0.000,0,3.930,6,3.950,5,3.990,5,4.050,11,0.000,0,0,0,
110719416000,0,0,3.680,6,3.660,5,3.630,5,3.540,6,3.530,5,3.930,6,3.950,5,3.990,5,4.050,5,4.060,6,0,0,
