Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
110541919000,0,0,4.640,6,0.000,0,0.000,0,0.000,0,0.000,0,4.870,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110547416000,0,0,4.640,6,4.530,5,0.000,0,0.000,0,0.000,0,4.870,6,4.980,5,0.000,0,0.000,0,0.000,0,0,0,
110607543000,0,0,4.640,6,0.000,0,0.000,0,0.000,0,0.000,0,4.870,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110607668000,0,0,4.640,6,4.530,5,0.000,0,0.000,0,0.000,0,4.870,6,4.980,5,0.000,0,0.000,0,0.000,0,0,0,
110627667000,0,0,4.640,6,0.000,0,0.000,0,0.000,0,0.000,0,4.870,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110628166000,0,0,4.640,6,4.530,5,0.000,0,0.000,0,0.000,0,4.870,6,4.980,5,0.000,0,0.000,0,0.000,0,0,0,
110638792000,0,0,4.630,6,4.530,5,0.000,0,0.000,0,0.000,0,4.860,6,4.980,5,0.000,0,0.000,0,0.000,0,0,0,
110638918000,0,0,4.630,6,4.520,5,0.000,0,0.000,0,0.000,0,4.860,6,4.970,5,0.000,0,0.000,0,0.000,0,0,0,
110654417000,0,0,4.620,6,4.520,5,0.000,0,0.000,0,0.000,0,4.850,6,4.970,5,0.000,0,0.000,0,0.000,0,0,0,
110655167000,0,0,4.620,6,4.520,5,0.000,0,0.000,0,0.000,0,4.850,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
110715166000,0,0,4.620,6,0.000,0,0.000,0,0.000,0,0.000,0,4.850,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110717167000,0,0,4.620,6,4.520,5,0.000,0,0.000,0,0.000,0,4.850,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
110737293000,0,0,4.620,6,0.000,0,0.000,0,0.000,0,0.000,0,4.850,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110737417000,0,0,4.620,6,4.520,5,0.000,0,0.000,0,0.000,0,4.850,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
110743416000,0,0,4.610,6,4.520,5,0.000,0,0.000,0,0.000,0,4.840,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
110743541000,0,0,4.610,6,4.510,5,0.000,0,0.000,0,0.000,0,4.840,6,4.950,5,0.000,0,0.000,0,0.000,0,0,0,
110800292000,0,0,4.620,6,4.510,5,0.000,0,0.000,0,0.000,0,4.850,6,4.950,5,0.000,0,0.000,0,0.000,0,0,0,
110800542000,0,0,4.620,6,4.520,5,0.000,0,0.000,0,0.000,0,4.850,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
110820542000,0,0,4.620,6,0.000,0,0.000,0,0.000,0,0.000,0,4.850,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110820917000,0,0,4.620,6,4.520,5,0.000,0,0.000,0,0.000,0,4.850,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
110822666000,0,0,4.630,6,4.520,5,0.000,0,0.000,0,0.000,0,4.860,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
110823166000,0,0,4.630,6,4.520,5,0.000,0,0.000,0,0.000,0,4.860,6,4.970,5,0.000,0,0.000,0,0.000,0,0,0,
110836541000,0,0,4.620,6,4.520,5,0.000,0,0.000,0,0.000,0,4.850,6,4.970,5,0.000,0,0.000,0,0.000,0,0,0,
110836791000,0,0,4.620,6,4.520,5,0.000,0,0.000,0,0.000,0,4.850,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
110851417000,0,0,4.610,6,4.520,5,0.000,0,0.000,0,0.000,0,4.840,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
110852417000,0,0,4.610,6,4.510,5,0.000,0,0.000,0,0.000,0,4.840,6,4.950,5,0.000,0,0.000,0,0.000,0,0,0,
110904291000,0,0,4.620,6,4.510,5,0.000,0,0.000,0,0.000,0,4.850,6,4.950,5,0.000,0,0.000,0,0.000,0,0,0,
110904417000,0,0,4.620,6,4.520,5,0.000,0,0.000,0,0.000,0,4.850,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
110924416000,0,0,4.620,6,0.000,0,0.000,0,0.000,0,0.000,0,4.850,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110924916000,0,0,4.620,6,4.520,5,0.000,0,0.000,0,0.000,0,4.850,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
110936417000,0,0,4.610,6,4.520,5,0.000,0,0.000,0,0.000,0,4.840,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
110936791000,0,0,4.610,6,4.510,5,0.000,0,0.000,0,0.000,0,4.840,6,4.950,5,0.000,0,0.000,0,0.000,0,0,0,
110956916000,0,0,4.610,6,0.000,0,0.000,0,0.000,0,0.000,0,4.840,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110957416000,0,0,4.610,6,4.510,5,0.000,0,0.000,0,0.000,0,4.840,6,4.950,5,0.000,0,0.000,0,0.000,0,0,0,
111001417000,0,0,4.620,6,4.510,5,0.000,0,0.000,0,0.000,0,4.850,6,4.950,5,0.000,0,0.000,0,0.000,0,0,0,
111001666000,0,0,4.620,6,4.520,5,0.000,0,0.000,0,0.000,0,4.850,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
111021666000,0,0,4.620,6,0.000,0,0.000,0,0.000,0,0.000,0,4.850,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111023041000,0,0,4.620,6,4.520,5,0.000,0,0.000,0,0.000,0,4.850,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
111043041000,0,0,4.620,6,0.000,0,0.000,0,0.000,0,0.000,0,4.850,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111043542000,0,0,4.620,6,4.520,5,0.000,0,0.000,0,0.000,0,4.850,6,4.960,5,0.000,0,0.000,0,0.000,0,0,0,
111047045000,0,0,4.620,6,4.580,5,4.520,5,0.000,0,0.000,0,4.850,6,4.910,5,4.960,5,0.000,0,0.000,0,0,0,
111103542000,0,0,4.620,6,4.580,5,0.000,0,0.000,0,0.000,0,4.850,6,4.910,5,0.000,0,0.000,0,0.000,0,0,0,
111104917000,0,0,4.620,6,4.580,5,4.520,5,0.000,0,0.000,0,4.850,6,4.910,5,4.960,5,0.000,0,0.000,0,0,0,
111111166000,0,0,4.620,6,4.590,5,4.520,5,0.000,0,0.000,0,4.850,6,4.920,5,4.960,5,0.000,0,0.000,0,0,0,
111114166000,0,0,4.640,6,4.590,5,4.520,5,0.000,0,0.000,0,4.870,6,4.920,5,4.960,5,0.000,0,0.000,0,0,0,
111114416000,0,0,4.640,6,4.590,5,4.520,5,0.000,0,0.000,0,4.870,6,4.920,5,4.960,5,0.000,0,0.000,0,0,0,
111114792000,0,0,4.640,6,4.590,5,4.530,5,0.000,0,0.000,0,4.870,6,4.920,5,4.980,5,0.000,0,0.000,0,0,0,
111122542000,0,0,4.620,6,4.590,5,4.530,5,0.000,0,0.000,0,4.850,6,4.920,5,4.980,5,0.000,0,0.000,0,0,0,
111122667000,0,0,4.620,6,4.580,5,4.520,5,0.000,0,0.000,0,4.850,6,4.910,5,4.960,5,0.000,0,0.000,0,0,0,
111142791000,0,0,4.620,6,4.580,5,0.000,0,0.000,0,0.000,0,4.850,6,4.910,5,0.000,0,0.000,0,0.000,0,0,0,
111143041000,0,0,4.620,6,4.580,5,4.520,5,0.000,0,0.000,0,4.850,6,4.910,5,4.960,5,0.000,0,0.000,0,0,0,
111152416000,0,0,4.620,6,4.570,5,4.520,5,0.000,0,0.000,0,4.850,6,4.900,5,4.960,5,0.000,0,0.000,0,0,0,
111157416000,0,0,4.620,6,4.580,5,4.520,5,0.000,0,0.000,0,4.850,6,4.910,5,4.960,5,0.000,0,0.000,0,0,0,
111203166000,0,0,4.620,6,4.580,5,0.000,0,0.000,0,0.000,0,4.850,6,4.910,5,0.000,0,0.000,0,0.000,0,0,0,
111203791000,0,0,4.620,6,4.580,5,4.520,5,0.000,0,0.000,0,4.850,6,4.910,5,4.960,5,0.000,0,0.000,0,0,0,
111218417000,0,0,4.620,6,4.590,5,4.520,5,0.000,0,0.000,0,4.850,6,4.920,5,4.960,5,0.000,0,0.000,0,0,0,
111218541000,0,0,4.620,6,4.600,5,4.520,5,0.000,0,0.000,0,4.850,6,4.930,5,4.960,5,0.000,0,0.000,0,0,0,
111218666000,0,0,4.640,6,4.600,5,4.520,5,0.000,0,0.000,0,4.870,6,4.930,5,4.960,5,0.000,0,0.000,0,0,0,
111218916000,0,0,4.640,6,4.610,5,4.520,5,0.000,0,0.000,0,4.870,6,4.940,5,4.960,5,0.000,0,0.000,0,0,0,
111219041000,0,0,4.640,6,4.610,5,4.530,5,0.000,0,0.000,0,4.870,6,4.940,5,4.980,5,0.000,0,0.000,0,0,0,
111221166000,0,0,4.640,6,4.590,5,4.530,5,0.000,0,0.000,0,4.870,6,4.920,5,4.980,5,0.000,0,0.000,0,0,0,
111239166000,0,0,4.640,6,4.590,5,0.000,0,0.000,0,0.000,0,4.870,6,4.920,5,0.000,0,0.000,0,0.000,0,0,0,
111239292000,0,0,4.640,6,4.590,5,4.530,5,0.000,0,0.000,0,4.870,6,4.920,5,4.980,5,0.000,0,0.000,0,0,0,
111259416000,0,0,4.640,6,4.590,5,4.530,5,0.000,0,0.000,0,4.870,6,4.920,5,4.980,5,0.000,0,0.000,0,0,0,
111319416000,0,0,4.640,6,4.590,5,0.000,0,0.000,0,0.000,0,4.870,6,4.920,5,0.000,0,0.000,0,0.000,0,0,0,
111319541000,0,0,4.640,6,4.590,5,4.530,5,0.000,0,0.000,0,4.870,6,4.920,5,4.980,5,0.000,0,0.000,0,0,0,
111335916000,0,0,4.640,6,4.600,5,4.530,5,0.000,0,0.000,0,4.870,6,4.930,5,4.980,5,0.000,0,0.000,0,0,0,
111339541000,0,0,4.640,6,4.600,5,0.000,0,0.000,0,0.000,0,4.870,6,4.930,5,0.000,0,0.000,0,0.000,0,0,0,
