Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
90705526000,0,0,0.160,6,0,0,0,0,0,0,0,0,0.230,6,0,0,0,0,0,0,0,0,0,0,
90709696000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90712528000,0,0,0.160,6,0,0,0,0,0,0,0,0,0.230,6,0,0,0,0,0,0,0,0,0,0,
90713195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90719531000,0,0,0.160,6,0,0,0,0,0,0,0,0,0.230,6,0,0,0,0,0,0,0,0,0,0,
90725706000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90726534000,0,0,0.160,6,0,0,0,0,0,0,0,0,0.230,6,0,0,0,0,0,0,0,0,0,0,
90733210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90733537000,0,0,0.160,6,0,0,0,0,0,0,0,0,0.230,6,0,0,0,0,0,0,0,0,0,0,
90737714000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90740540000,0,0,0.160,6,0,0,0,0,0,0,0,0,0.230,6,0,0,0,0,0,0,0,0,0,0,
90807695000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90835371000,0,0,0.160,6,0,0,0,0,0,0,0,0,0.210,6,0,0,0,0,0,0,0,0,0,0,
90848465000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90916476000,0,0,0.160,6,0,0,0,0,0,0,0,0,0.200,6,0,0,0,0,0,0,0,0,0,0,
91504078000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91522148000,0,0,0.160,6,0,0,0,0,0,0,0,0,0.200,6,0,0,0,0,0,0,0,0,0,0,
91604489000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91625173000,0,0,0.160,6,0,0,0,0,0,0,0,0,0.200,6,0,0,0,0,0,0,0,0,0,0,
91650327000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91707189000,0,0,0.170,6,0,0,0,0,0,0,0,0,0.210,6,0,0,0,0,0,0,0,0,0,0,
92031718000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92126292000,0,0,0.180,6,0,0,0,0,0,0,0,0,0.220,6,0,0,0,0,0,0,0,0,0,0,
92900692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92907493000,0,0,0.170,6,0,0,0,0,0,0,0,0,0.220,6,0,0,0,0,0,0,0,0,0,0,
93459664000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93520727000,0,0,0.170,6,0,0,0,0,0,0,0,0,0.220,6,0,0,0,0,0,0,0,0,0,0,
93527241000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93527730000,0,0,0.170,6,0,0,0,0,0,0,0,0,0.220,6,0,0,0,0,0,0,0,0,0,0,
94016810000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94016810000,0,0,0.180,6,0,0,0,0,0,0,0,0,0.220,6,0,0,0,0,0,0,0,0,0,0,
94130264000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94133840000,0,0,0.170,6,0,0,0,0,0,0,0,0,0.210,6,0,0,0,0,0,0,0,0,0,0,
94422174000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94430662000,0,0,0.180,6,0,0,0,0,0,0,0,0,0.220,6,0,0,0,0,0,0,0,0,0,0,
94543889000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94622706000,0,0,0.170,6,0,0,0,0,0,0,0,0,0.210,6,0,0,0,0,0,0,0,0,0,0,
95117252000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95130237000,0,0,0.160,6,0,0,0,0,0,0,0,0,0.200,6,0,0,0,0,0,0,0,0,0,0,
95349663000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95349663000,0,0,0.170,6,0,0,0,0,0,0,0,0,0.210,6,0,0,0,0,0,0,0,0,0,0,
101314849000,0,0,0.170,6,0.160,5,0,0,0,0,0,0,0.210,6,0.220,5,0,0,0,0,0,0,0,0,
101341398000,0,0,0.170,6,0,0,0,0,0,0,0,0,0.210,6,0,0,0,0,0,0,0,0,0,0,
101442021000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
101442076000,0,0,0.160,6,0,0,0,0,0,0,0,0,0.200,6,0,0,0,0,0,0,0,0,0,0,
101451072000,0,0,0.160,6,0.150,5,0,0,0,0,0,0,0.200,6,0.210,5,0,0,0,0,0,0,0,0,
102026476000,0,0,0.160,6,0.150,10,0,0,0,0,0,0,0.200,6,0.210,5,0.220,5,0,0,0,0,0,0,
102046500000,0,0,0.160,6,0.150,5,0,0,0,0,0,0,0.200,6,0.210,5,0,0,0,0,0,0,0,0,
102046583000,0,0,0.160,6,0.150,10,0,0,0,0,0,0,0.200,6,0.210,5,0.220,5,0,0,0,0,0,0,
102106600000,0,0,0.160,6,0.150,5,0,0,0,0,0,0,0.200,6,0.210,5,0,0,0,0,0,0,0,0,
102106691000,0,0,0.160,6,0.150,10,0,0,0,0,0,0,0.200,6,0.210,5,0.220,5,0,0,0,0,0,0,
102126700000,0,0,0.160,6,0.150,5,0,0,0,0,0,0,0.200,6,0.210,5,0,0,0,0,0,0,0,0,
102126899000,0,0,0.160,6,0.150,10,0,0,0,0,0,0,0.200,6,0.210,5,0.220,5,0,0,0,0,0,0,
102146900000,0,0,0.160,6,0.150,5,0,0,0,0,0,0,0.200,6,0.210,5,0,0,0,0,0,0,0,0,
