Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
110648541000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110648666000,0,0,0.010,10,0.000,0,0.000,0,0.000,0,0.000,0,0.110,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111003916000,0,0,0.010,30,0.000,0,0.000,0,0.000,0,0.000,0,0.110,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111013916000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.110,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111103916000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.110,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111203916000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.110,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111304041000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.110,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111404041000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.110,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111504041000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.110,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111604041000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.110,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111704041000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.110,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111726166000,0,0,0.010,30,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.110,25,0.000,0,0.000,0,0.000,0,0,0,
111726291000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,5,0.110,25,0.000,0,0.000,0,0,0,
111804041000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,5,0.110,25,0.000,0,0.000,0,0,0,
111904041000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,5,0.110,25,0.000,0,0.000,0,0,0,
112004041000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,5,0.110,25,0.000,0,0.000,0,0,0,
112029041000,0,0,0.010,30,0.000,0,0.000,0,0.000,0,0.000,0,0.080,5,0.110,25,0.000,0,0.000,0,0.000,0,0,0,
112029166000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.110,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112104166000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.110,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112129416000,0,0,0.010,30,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.110,25,0.000,0,0.000,0,0.000,0,0,0,
112129541000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,5,0.110,25,0.000,0,0.000,0,0,0,
112204166000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,5,0.110,25,0.000,0,0.000,0,0,0,
112304166000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,5,0.110,25,0.000,0,0.000,0,0,0,
112404166000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,5,0.110,25,0.000,0,0.000,0,0,0,
