Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
105014269000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105014379000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.070,5,0,0,0,0,0,0,0,0,
105014815000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0,0,0,0,0,0,0,0,
105020002000,0,0,0.010,21,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0.080,5,0,0,0,0,0,0,
105040100000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0,0,0,0,0,0,0,0,
105040222000,0,0,0.010,21,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0.080,5,0,0,0,0,0,0,
105100300000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0,0,0,0,0,0,0,0,
105100409000,0,0,0.010,21,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0.080,5,0,0,0,0,0,0,
105120500000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0,0,0,0,0,0,0,0,
105120516000,0,0,0.010,21,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0.080,5,0,0,0,0,0,0,
105140600000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0,0,0,0,0,0,0,0,
105140736000,0,0,0.010,21,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0.080,5,0,0,0,0,0,0,
105200800000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0,0,0,0,0,0,0,0,
105200922000,0,0,0.010,21,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0.080,5,0,0,0,0,0,0,
105221000000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0,0,0,0,0,0,0,0,
105221096000,0,0,0.010,21,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0.080,5,0,0,0,0,0,0,
105241100000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0,0,0,0,0,0,0,0,
105241111000,0,0,0.010,21,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0.080,5,0,0,0,0,0,0,
105301200000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0,0,0,0,0,0,0,0,
105301217000,0,0,0.010,21,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0.080,5,0,0,0,0,0,0,
105321300000,0,0,0.010,16,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0,0,0,0,0,0,0,0,
105321314000,0,0,0.010,21,0,0,0,0,0,0,0,0,0.060,11,0.070,5,0.080,5,0,0,0,0,0,0,
