Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
105020410000,0,0,5.700,6,0,0,0,0,0,0,0,0,6.050,6,0,0,0,0,0,0,0,0,0,0,
105025002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105025002000,0,0,5.750,6,0,0,0,0,0,0,0,0,6.150,6,0,0,0,0,0,0,0,0,0,0,
105032069000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105032069000,0,0,5.700,6,0,0,0,0,0,0,0,0,6.050,6,0,0,0,0,0,0,0,0,0,0,
105610092000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105610092000,0,0,5.750,6,0,0,0,0,0,0,0,0,6.150,6,0,0,0,0,0,0,0,0,0,0,
105730131000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105730131000,0,0,5.700,6,0,0,0,0,0,0,0,0,6.050,6,0,0,0,0,0,0,0,0,0,0,
105730131000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105730131000,0,0,5.750,6,0,0,0,0,0,0,0,0,6.150,6,0,0,0,0,0,0,0,0,0,0,
105808439000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105808439000,0,0,5.700,6,0,0,0,0,0,0,0,0,6.050,6,0,0,0,0,0,0,0,0,0,0,
111529747000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111529747000,0,0,5.600,6,0,0,0,0,0,0,0,0,5.950,6,0,0,0,0,0,0,0,0,0,0,
111815367000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111815367000,0,0,5.700,6,0,0,0,0,0,0,0,0,6.050,6,0,0,0,0,0,0,0,0,0,0,
113505289000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113505289000,0,0,5.750,6,0,0,0,0,0,0,0,0,6.150,6,0,0,0,0,0,0,0,0,0,0,
113535046000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113535046000,0,0,5.700,6,0,0,0,0,0,0,0,0,6.050,6,0,0,0,0,0,0,0,0,0,0,
121701227000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
121701227000,0,0,5.600,6,0,0,0,0,0,0,0,0,5.950,6,0,0,0,0,0,0,0,0,0,0,
121724747000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
