Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
90319416000,0,0,0.100,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110541918000,0,0,0.250,6,0.100,1,0.000,0,0.000,0,0.000,0,0.300,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110547541000,0,0,0.250,6,0.230,5,0.100,1,0.000,0,0.000,0,0.300,6,0.330,5,0.000,0,0.000,0,0.000,0,0,0,
110607542000,0,0,0.250,6,0.100,1,0.000,0,0.000,0,0.000,0,0.300,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110607667000,0,0,0.250,6,0.230,5,0.100,1,0.000,0,0.000,0,0.300,6,0.330,5,0.000,0,0.000,0,0.000,0,0,0,
110627666000,0,0,0.250,6,0.100,1,0.000,0,0.000,0,0.000,0,0.300,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110630416000,0,0,0.250,6,0.230,5,0.100,1,0.000,0,0.000,0,0.300,6,0.330,5,0.000,0,0.000,0,0.000,0,0,0,
110650417000,0,0,0.250,6,0.100,1,0.000,0,0.000,0,0.000,0,0.300,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110653541000,0,0,0.250,6,0.230,5,0.100,1,0.000,0,0.000,0,0.300,6,0.330,5,0.000,0,0.000,0,0.000,0,0,0,
110707416000,0,0,0.240,6,0.230,5,0.100,1,0.000,0,0.000,0,0.290,6,0.330,5,0.000,0,0.000,0,0.000,0,0,0,
110707541000,0,0,0.240,6,0.220,5,0.100,1,0.000,0,0.000,0,0.290,6,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
110727666000,0,0,0.240,6,0.100,1,0.000,0,0.000,0,0.000,0,0.290,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110727916000,0,0,0.240,6,0.220,5,0.100,1,0.000,0,0.000,0,0.290,6,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
110748041000,0,0,0.240,6,0.100,1,0.000,0,0.000,0,0.000,0,0.290,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110749291000,0,0,0.240,6,0.220,5,0.100,1,0.000,0,0.000,0,0.290,6,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
110809416000,0,0,0.240,6,0.100,1,0.000,0,0.000,0,0.000,0,0.290,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110809666000,0,0,0.240,6,0.220,5,0.100,1,0.000,0,0.000,0,0.290,6,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
110816916000,0,0,0.240,6,0.230,5,0.100,1,0.000,0,0.000,0,0.290,6,0.300,5,0.000,0,0.000,0,0.000,0,0,0,
110836916000,0,0,0.240,6,0.100,1,0.000,0,0.000,0,0.000,0,0.290,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110840041000,0,0,0.240,6,0.230,5,0.100,1,0.000,0,0.000,0,0.290,6,0.300,5,0.000,0,0.000,0,0.000,0,0,0,
110900041000,0,0,0.240,6,0.100,1,0.000,0,0.000,0,0.000,0,0.290,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110900792000,0,0,0.240,6,0.230,5,0.100,1,0.000,0,0.000,0,0.290,6,0.300,5,0.000,0,0.000,0,0.000,0,0,0,
110920791000,0,0,0.240,6,0.100,1,0.000,0,0.000,0,0.000,0,0.290,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110921166000,0,0,0.240,6,0.230,5,0.100,1,0.000,0,0.000,0,0.290,6,0.300,5,0.000,0,0.000,0,0.000,0,0,0,
110941291000,0,0,0.240,6,0.100,1,0.000,0,0.000,0,0.000,0,0.290,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110941416000,0,0,0.240,6,0.230,5,0.100,1,0.000,0,0.000,0,0.290,6,0.300,5,0.000,0,0.000,0,0.000,0,0,0,
111001416000,0,0,0.240,6,0.100,1,0.000,0,0.000,0,0.000,0,0.290,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111005041000,0,0,0.240,6,0.230,5,0.100,1,0.000,0,0.000,0,0.290,6,0.300,5,0.000,0,0.000,0,0.000,0,0,0,
111025041000,0,0,0.240,6,0.100,1,0.000,0,0.000,0,0.000,0,0.290,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111025166000,0,0,0.240,6,0.230,5,0.100,1,0.000,0,0.000,0,0.290,6,0.300,5,0.000,0,0.000,0,0.000,0,0,0,
111045166000,0,0,0.240,6,0.100,1,0.000,0,0.000,0,0.000,0,0.290,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111047166000,0,0,0.240,6,0.230,5,0.100,1,0.000,0,0.000,0,0.290,6,0.300,5,0.000,0,0.000,0,0.000,0,0,0,
111107166000,0,0,0.240,6,0.100,1,0.000,0,0.000,0,0.000,0,0.290,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111109291000,0,0,0.240,6,0.230,5,0.100,1,0.000,0,0.000,0,0.290,6,0.300,5,0.000,0,0.000,0,0.000,0,0,0,
