Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
100811792000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101453291000,0,0,0.060,5,0.040,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
101702542000,0,0,0.060,5,0.040,5,0.030,5,0.000,0,0.000,0,0.110,5,0.130,5,0.150,5,0.000,0,0.000,0,0,0,
101722542000,0,0,0.060,5,0.040,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
101724042000,0,0,0.060,5,0.040,5,0.030,5,0.000,0,0.000,0,0.110,5,0.130,5,0.150,5,0.000,0,0.000,0,0,0,
101744042000,0,0,0.060,5,0.040,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
101745042000,0,0,0.060,5,0.040,5,0.030,5,0.000,0,0.000,0,0.110,5,0.130,5,0.150,5,0.000,0,0.000,0,0,0,
101805041000,0,0,0.060,5,0.040,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
101808542000,0,0,0.060,5,0.040,5,0.030,5,0.000,0,0.000,0,0.110,5,0.130,5,0.150,5,0.000,0,0.000,0,0,0,
101828542000,0,0,0.060,5,0.040,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
101829794000,0,0,0.060,5,0.040,5,0.030,5,0.000,0,0.000,0,0.110,5,0.130,5,0.150,5,0.000,0,0.000,0,0,0,
101849918000,0,0,0.060,5,0.040,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
101850293000,0,0,0.060,5,0.040,5,0.030,5,0.000,0,0.000,0,0.110,5,0.130,5,0.150,5,0.000,0,0.000,0,0,0,
101910417000,0,0,0.060,5,0.040,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
101910543000,0,0,0.060,5,0.040,5,0.030,5,0.000,0,0.000,0,0.110,5,0.130,5,0.150,5,0.000,0,0.000,0,0,0,
101923666000,0,0,0.040,10,0.030,5,0.000,0,0.000,0,0.000,0,0.110,10,0.150,5,0.000,0,0.000,0,0.000,0,0,0,
101923791000,0,0,0.040,10,0.020,5,0.000,0,0.000,0,0.000,0,0.110,10,0.140,5,0.000,0,0.000,0,0.000,0,0,0,
101935666000,0,0,0.050,5,0.040,5,0.020,5,0.000,0,0.000,0,0.110,5,0.120,5,0.140,5,0.000,0,0.000,0,0,0,
101943916000,0,0,0.050,5,0.040,5,0.000,0,0.000,0,0.000,0,0.110,5,0.120,5,0.000,0,0.000,0,0.000,0,0,0,
101944167000,0,0,0.050,5,0.040,5,0.020,5,0.000,0,0.000,0,0.110,5,0.120,5,0.140,5,0.000,0,0.000,0,0,0,
102004291000,0,0,0.050,5,0.040,5,0.000,0,0.000,0,0.000,0,0.110,5,0.120,5,0.000,0,0.000,0,0.000,0,0,0,
102004667000,0,0,0.050,5,0.040,5,0.020,5,0.000,0,0.000,0,0.110,5,0.120,5,0.140,5,0.000,0,0.000,0,0,0,
102024666000,0,0,0.050,5,0.040,5,0.020,5,0.000,0,0.000,0,0.110,5,0.120,5,0.140,5,0.000,0,0.000,0,0,0,
102041291000,0,0,0.040,10,0.020,5,0.000,0,0.000,0,0.000,0,0.110,10,0.140,5,0.000,0,0.000,0,0.000,0,0,0,
102044791000,0,0,0.040,10,0.000,0,0.000,0,0.000,0,0.000,0,0.110,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102045042000,0,0,0.040,10,0.020,5,0.000,0,0.000,0,0.000,0,0.110,10,0.140,5,0.000,0,0.000,0,0.000,0,0,0,
102045291000,0,0,0.050,5,0.040,5,0.020,5,0.000,0,0.000,0,0.110,5,0.120,5,0.140,5,0.000,0,0.000,0,0,0,
102105042000,0,0,0.050,5,0.040,5,0.000,0,0.000,0,0.000,0,0.110,5,0.120,5,0.000,0,0.000,0,0.000,0,0,0,
102105541000,0,0,0.050,5,0.040,5,0.020,5,0.000,0,0.000,0,0.110,5,0.120,5,0.140,5,0.000,0,0.000,0,0,0,
102125542000,0,0,0.050,5,0.040,5,0.000,0,0.000,0,0.000,0,0.110,5,0.120,5,0.000,0,0.000,0,0.000,0,0,0,
102125667000,0,0,0.050,5,0.040,5,0.020,5,0.000,0,0.000,0,0.110,5,0.120,5,0.140,5,0.000,0,0.000,0,0,0,
102145666000,0,0,0.050,5,0.040,5,0.000,0,0.000,0,0.000,0,0.110,5,0.120,5,0.000,0,0.000,0,0.000,0,0,0,
102145917000,0,0,0.050,5,0.040,5,0.020,5,0.000,0,0.000,0,0.110,5,0.120,5,0.140,5,0.000,0,0.000,0,0,0,
102205916000,0,0,0.050,5,0.040,5,0.000,0,0.000,0,0.000,0,0.110,5,0.120,5,0.000,0,0.000,0,0.000,0,0,0,
