Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
105019417000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105025411000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105045500000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105045629000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105045750000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105048891000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105048999000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105052173000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105112200000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105112331000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105132400000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105132471000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105152500000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105152549000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105212600000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105212673000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105232700000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105232767000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105252800000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105252860000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105312900000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105312920000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105333000000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105333034000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105353100000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105354265000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105414300000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105414376000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105414500000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105417689000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105437700000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105437861000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105457900000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105457986000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105518000000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105518103000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
105538200000,0,0,0.010,6,0,0,0,0,0,0,0,0,0.060,6,0,0,0,0,0,0,0,0,0,0,
105538315000,0,0,0.010,11,0,0,0,0,0,0,0,0,0.060,6,0.110,5,0,0,0,0,0,0,0,0,
