Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
110541921000,0,0,0.850,6,0.000,0,0.000,0,0.000,0,0.000,0,0.920,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110542044000,0,0,0.850,6,0.830,10,0.000,0,0.000,0,0.000,0,0.900,5,0.920,6,0.940,5,0.000,0,0.000,0,0,0,
110542167000,0,0,0.850,6,0.830,10,0.000,0,0.000,0,0.000,0,0.900,5,0.920,11,0.000,0,0.000,0,0.000,0,0,0,
110550667000,0,0,0.850,6,0.830,10,0.820,5,0.000,0,0.000,0,0.900,5,0.920,11,0.940,5,0.000,0,0.000,0,0,0,
110552045000,0,0,0.860,6,0.830,10,0.820,5,0.000,0,0.000,0,0.900,5,0.920,5,0.930,6,0.940,5,0.000,0,0,0,
110552166000,0,0,0.860,6,0.840,5,0.830,5,0.820,5,0.000,0,0.900,5,0.920,5,0.930,6,0.940,5,0.000,0,0,0,
110610667000,0,0,0.860,6,0.840,5,0.830,5,0.000,0,0.000,0,0.900,5,0.920,5,0.930,6,0.000,0,0.000,0,0,0,
110610916000,0,0,0.860,6,0.840,10,0.000,0,0.000,0,0.000,0,0.910,5,0.920,5,0.930,6,0.000,0,0.000,0,0,0,
110611041000,0,0,0.860,6,0.840,10,0.000,0,0.000,0,0.000,0,0.910,5,0.930,11,0.000,0,0.000,0,0.000,0,0,0,
110612418000,0,0,0.860,6,0.840,10,0.830,5,0.000,0,0.000,0,0.910,5,0.930,11,0.950,5,0.000,0,0.000,0,0,0,
110626916000,0,0,0.860,6,0.840,5,0.830,10,0.000,0,0.000,0,0.900,5,0.930,11,0.950,5,0.000,0,0.000,0,0,0,
110627042000,0,0,0.860,6,0.840,5,0.830,5,0.820,5,0.000,0,0.900,5,0.920,5,0.930,6,0.940,5,0.000,0,0,0,
110627667000,0,0,0.860,6,0.840,10,0.820,5,0.000,0,0.000,0,0.910,5,0.920,5,0.930,6,0.940,5,0.000,0,0,0,
110627792000,0,0,0.860,6,0.840,10,0.820,5,0.000,0,0.000,0,0.910,5,0.930,11,0.940,5,0.000,0,0.000,0,0,0,
110628416000,0,0,0.860,6,0.840,5,0.830,5,0.820,5,0.000,0,0.900,5,0.930,11,0.940,5,0.000,0,0.000,0,0,0,
110628541000,0,0,0.860,6,0.840,5,0.830,5,0.820,5,0.000,0,0.900,5,0.920,5,0.930,6,0.940,5,0.000,0,0,0,
110629291000,0,0,0.860,6,0.840,10,0.820,5,0.000,0,0.000,0,0.910,5,0.920,5,0.930,6,0.940,5,0.000,0,0,0,
110629416000,0,0,0.860,6,0.840,10,0.820,5,0.000,0,0.000,0,0.910,5,0.930,11,0.940,5,0.000,0,0.000,0,0,0,
110634168000,0,0,0.860,6,0.840,10,0.830,5,0.000,0,0.000,0,0.910,5,0.930,11,0.950,5,0.000,0,0.000,0,0,0,
110638792000,0,0,0.870,6,0.840,10,0.830,5,0.000,0,0.000,0,0.910,5,0.930,5,0.940,6,0.950,5,0.000,0,0,0,
110638918000,0,0,0.870,6,0.850,5,0.840,5,0.830,5,0.000,0,0.910,5,0.930,5,0.940,6,0.950,5,0.000,0,0,0,
110642666000,0,0,0.860,6,0.850,5,0.840,5,0.830,5,0.000,0,0.910,5,0.930,11,0.950,5,0.000,0,0.000,0,0,0,
110642792000,0,0,0.860,6,0.840,10,0.830,5,0.000,0,0.000,0,0.910,5,0.930,11,0.950,5,0.000,0,0.000,0,0,0,
110645291000,0,0,0.860,6,0.850,5,0.840,5,0.830,5,0.000,0,0.920,5,0.930,11,0.950,5,0.000,0,0.000,0,0,0,
110645416000,0,0,0.860,6,0.850,5,0.840,5,0.830,5,0.000,0,0.920,5,0.930,6,0.940,5,0.950,5,0.000,0,0,0,
110647666000,0,0,0.860,6,0.840,10,0.830,5,0.000,0,0.000,0,0.910,5,0.930,6,0.940,5,0.950,5,0.000,0,0,0,
110647791000,0,0,0.860,6,0.840,10,0.830,5,0.000,0,0.000,0,0.910,5,0.930,11,0.950,5,0.000,0,0.000,0,0,0,
110649291000,0,0,0.860,6,0.850,5,0.840,5,0.830,5,0.000,0,0.920,5,0.930,11,0.950,5,0.000,0,0.000,0,0,0,
110649416000,0,0,0.860,6,0.850,5,0.840,5,0.830,5,0.000,0,0.920,5,0.930,6,0.940,5,0.950,5,0.000,0,0,0,
110654293000,0,0,0.860,6,0.850,5,0.840,5,0.000,0,0.000,0,0.920,5,0.930,6,0.940,5,0.000,0,0.000,0,0,0,
110656668000,0,0,0.860,6,0.850,5,0.840,5,0.830,5,0.000,0,0.920,5,0.930,6,0.940,5,0.950,5,0.000,0,0,0,
110657291000,0,0,0.870,6,0.850,5,0.840,5,0.830,5,0.000,0,0.920,5,0.940,11,0.950,5,0.000,0,0.000,0,0,0,
110657417000,0,0,0.870,6,0.850,10,0.830,5,0.000,0,0.000,0,0.920,5,0.940,11,0.950,5,0.000,0,0.000,0,0,0,
110700792000,0,0,0.870,6,0.850,10,0.840,5,0.000,0,0.000,0,0.920,5,0.940,11,0.960,5,0.000,0,0.000,0,0,0,
110712416000,0,0,0.870,11,0.850,5,0.840,5,0.000,0,0.000,0,0.940,16,0.960,5,0.000,0,0.000,0,0.000,0,0,0,
110712542000,0,0,0.870,11,0.850,5,0.840,5,0.000,0,0.000,0,0.940,11,0.960,10,0.000,0,0.000,0,0.000,0,0,0,
110712667000,0,0,0.880,6,0.870,5,0.850,5,0.840,5,0.000,0,0.940,5,0.950,6,0.960,10,0.000,0,0.000,0,0,0,
110712791000,0,0,0.880,6,0.870,5,0.860,5,0.840,5,0.000,0,0.940,5,0.950,6,0.960,10,0.000,0,0.000,0,0,0,
110713292000,0,0,0.880,6,0.860,10,0.840,5,0.000,0,0.000,0,0.930,5,0.950,6,0.960,10,0.000,0,0.000,0,0,0,
110713417000,0,0,0.880,6,0.860,10,0.840,5,0.000,0,0.000,0,0.930,5,0.950,11,0.960,5,0.000,0,0.000,0,0,0,
110717295000,0,0,0.880,6,0.860,10,0.850,5,0.000,0,0.000,0,0.930,5,0.950,11,0.970,5,0.000,0,0.000,0,0,0,
110717916000,0,0,0.870,6,0.860,10,0.850,5,0.000,0,0.000,0,0.930,5,0.940,6,0.950,5,0.970,5,0.000,0,0,0,
110718041000,0,0,0.870,6,0.860,5,0.850,10,0.000,0,0.000,0,0.930,5,0.940,6,0.950,5,0.970,5,0.000,0,0,0,
110719792000,0,0,0.870,6,0.860,5,0.850,5,0.840,5,0.000,0,0.930,5,0.940,6,0.950,5,0.960,5,0.000,0,0,0,
110731041000,0,0,0.880,6,0.860,5,0.850,5,0.840,5,0.000,0,0.930,5,0.950,11,0.960,5,0.000,0,0.000,0,0,0,
110731166000,0,0,0.880,6,0.860,10,0.840,5,0.000,0,0.000,0,0.930,5,0.950,11,0.960,5,0.000,0,0.000,0,0,0,
110731292000,0,0,0.880,6,0.860,10,0.850,5,0.000,0,0.000,0,0.930,5,0.950,11,0.970,5,0.000,0,0.000,0,0,0,
110751416000,0,0,0.880,6,0.860,10,0.000,0,0.000,0,0.000,0,0.930,5,0.950,11,0.000,0,0.000,0,0.000,0,0,0,
110751542000,0,0,0.880,6,0.860,10,0.850,5,0.000,0,0.000,0,0.930,5,0.950,11,0.970,5,0.000,0,0.000,0,0,0,
110756417000,0,0,0.880,11,0.860,5,0.850,5,0.000,0,0.000,0,0.950,16,0.970,5,0.000,0,0.000,0,0.000,0,0,0,
110756541000,0,0,0.880,11,0.860,5,0.850,5,0.000,0,0.000,0,0.950,11,0.970,10,0.000,0,0.000,0,0.000,0,0,0,
110756666000,0,0,0.880,11,0.860,10,0.000,0,0.000,0,0.000,0,0.950,11,0.970,5,0.980,5,0.000,0,0.000,0,0,0,
110816666000,0,0,0.880,11,0.860,5,0.000,0,0.000,0,0.000,0,0.950,11,0.970,5,0.000,0,0.000,0,0.000,0,0,0,
110816916000,0,0,0.880,11,0.860,10,0.000,0,0.000,0,0.000,0,0.950,11,0.970,5,0.980,5,0.000,0,0.000,0,0,0,
110836416000,0,0,0.890,5,0.880,6,0.860,10,0.000,0,0.000,0,0.950,6,0.960,5,0.970,5,0.980,5,0.000,0,0,0,
110836541000,0,0,0.890,5,0.880,6,0.870,5,0.860,5,0.000,0,0.950,6,0.960,5,0.970,5,0.980,5,0.000,0,0,0,
110836916000,0,0,0.890,5,0.880,6,0.870,5,0.000,0,0.000,0,0.950,6,0.960,5,0.970,5,0.000,0,0.000,0,0,0,
110837291000,0,0,0.890,5,0.880,6,0.870,5,0.860,5,0.000,0,0.950,6,0.960,5,0.970,5,0.980,5,0.000,0,0,0,
110857291000,0,0,0.890,5,0.880,6,0.870,5,0.000,0,0.000,0,0.950,6,0.960,5,0.970,5,0.000,0,0.000,0,0,0,
110858041000,0,0,0.890,5,0.880,6,0.870,5,0.860,5,0.000,0,0.950,6,0.960,5,0.970,5,0.980,5,0.000,0,0,0,
110916416000,0,0,0.890,5,0.880,6,0.870,10,0.000,0,0.000,0,0.950,6,0.960,5,0.970,10,0.000,0,0.000,0,0,0,
110936418000,0,0,0.890,5,0.880,6,0.870,5,0.000,0,0.000,0,0.950,6,0.960,5,0.970,5,0.000,0,0.000,0,0,0,
110937166000,0,0,0.890,5,0.880,6,0.870,10,0.000,0,0.000,0,0.950,6,0.960,5,0.970,10,0.000,0,0.000,0,0,0,
110957292000,0,0,0.890,5,0.880,6,0.870,5,0.000,0,0.000,0,0.950,6,0.960,5,0.970,5,0.000,0,0.000,0,0,0,
111000667000,0,0,0.890,5,0.880,6,0.870,10,0.000,0,0.000,0,0.950,6,0.960,5,0.970,10,0.000,0,0.000,0,0,0,
111020667000,0,0,0.890,5,0.880,6,0.870,5,0.000,0,0.000,0,0.950,6,0.960,5,0.970,5,0.000,0,0.000,0,0,0,
111023042000,0,0,0.890,5,0.880,6,0.870,10,0.000,0,0.000,0,0.950,6,0.960,5,0.970,10,0.000,0,0.000,0,0,0,
111040041000,0,0,0.890,5,0.870,16,0.000,0,0.000,0,0.000,0,0.940,6,0.960,5,0.970,10,0.000,0,0.000,0,0,0,
111040166000,0,0,0.890,5,0.870,16,0.000,0,0.000,0,0.000,0,0.940,6,0.960,10,0.970,5,0.000,0,0.000,0,0,0,
111043042000,0,0,0.890,5,0.870,11,0.000,0,0.000,0,0.000,0,0.940,6,0.960,10,0.000,0,0.000,0,0.000,0,0,0,
111047168000,0,0,0.890,5,0.870,16,0.000,0,0.000,0,0.000,0,0.940,6,0.960,10,0.970,5,0.000,0,0.000,0,0,0,
111107168000,0,0,0.890,5,0.870,11,0.000,0,0.000,0,0.000,0,0.940,6,0.960,10,0.000,0,0.000,0,0.000,0,0,0,
111107667000,0,0,0.890,5,0.870,16,0.000,0,0.000,0,0.000,0,0.940,6,0.960,10,0.970,5,0.000,0,0.000,0,0,0,
111127792000,0,0,0.890,5,0.870,11,0.000,0,0.000,0,0.000,0,0.940,6,0.960,10,0.000,0,0.000,0,0.000,0,0,0,
111128417000,0,0,0.890,5,0.870,16,0.000,0,0.000,0,0.000,0,0.940,6,0.960,10,0.970,5,0.000,0,0.000,0,0,0,
111148417000,0,0,0.890,5,0.870,11,0.000,0,0.000,0,0.000,0,0.940,6,0.960,10,0.000,0,0.000,0,0.000,0,0,0,
111148542000,0,0,0.890,5,0.870,16,0.000,0,0.000,0,0.000,0,0.940,6,0.960,10,0.970,5,0.000,0,0.000,0,0,0,
111208541000,0,0,0.890,5,0.870,11,0.000,0,0.000,0,0.000,0,0.940,6,0.960,10,0.000,0,0.000,0,0.000,0,0,0,
111208792000,0,0,0.890,5,0.870,16,0.000,0,0.000,0,0.000,0,0.940,6,0.960,10,0.970,5,0.000,0,0.000,0,0,0,
111228916000,0,0,0.890,5,0.870,16,0.000,0,0.000,0,0.000,0,0.940,6,0.960,10,0.970,5,0.000,0,0.000,0,0,0,
111233291000,0,0,0.870,21,0.000,0,0.000,0,0.000,0,0.000,0,0.940,11,0.960,5,0.970,5,0.000,0,0.000,0,0,0,
111233416000,0,0,0.870,16,0.850,5,0.000,0,0.000,0,0.000,0,0.940,11,0.960,5,0.970,5,0.000,0,0.000,0,0,0,
111233666000,0,0,0.870,11,0.850,5,0.000,0,0.000,0,0.000,0,0.940,11,0.960,5,0.000,0,0.000,0,0.000,0,0,0,
111233791000,0,0,0.870,11,0.860,5,0.850,5,0.000,0,0.000,0,0.940,11,0.960,10,0.000,0,0.000,0,0.000,0,0,0,
111236042000,0,0,0.870,5,0.860,11,0.850,5,0.000,0,0.000,0,0.930,6,0.940,5,0.960,10,0.000,0,0.000,0,0,0,
111236166000,0,0,0.870,5,0.860,6,0.850,10,0.000,0,0.000,0,0.930,6,0.940,5,0.950,10,0.000,0,0.000,0,0,0,
111256166000,0,0,0.870,5,0.860,6,0.850,5,0.000,0,0.000,0,0.930,6,0.940,5,0.950,5,0.000,0,0.000,0,0,0,
111256541000,0,0,0.870,5,0.860,6,0.850,10,0.000,0,0.000,0,0.930,6,0.940,5,0.950,10,0.000,0,0.000,0,0,0,
111305292000,0,0,0.860,11,0.850,10,0.000,0,0.000,0,0.000,0,0.930,11,0.950,10,0.000,0,0.000,0,0.000,0,0,0,
111305416000,0,0,0.860,11,0.850,5,0.840,5,0.000,0,0.000,0,0.930,11,0.950,10,0.000,0,0.000,0,0.000,0,0,0,
111316541000,0,0,0.860,11,0.840,5,0.000,0,0.000,0,0.000,0,0.930,11,0.950,5,0.000,0,0.000,0,0.000,0,0,0,
111317042000,0,0,0.860,11,0.850,5,0.840,5,0.000,0,0.000,0,0.930,11,0.950,10,0.000,0,0.000,0,0.000,0,0,0,
111327916000,0,0,0.860,5,0.850,11,0.840,5,0.000,0,0.000,0,0.920,6,0.930,5,0.950,10,0.000,0,0.000,0,0,0,
111328041000,0,0,0.860,5,0.850,11,0.840,5,0.000,0,0.000,0,0.920,6,0.930,5,0.940,5,0.950,5,0.000,0,0,0,
111328792000,0,0,0.860,5,0.850,6,0.840,10,0.000,0,0.000,0,0.920,6,0.930,5,0.940,10,0.000,0,0.000,0,0,0,
111338916000,0,0,0.850,11,0.840,10,0.000,0,0.000,0,0.000,0,0.920,11,0.940,10,0.000,0,0.000,0,0.000,0,0,0,
