Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
102843292000,0,0,0.560,5,0.000,0,0.000,0,0.000,0,0.000,0,0.660,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102846417000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102908166000,0,0,0.560,5,0.000,0,0.000,0,0.000,0,0.000,0,0.660,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102914541000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110541921000,0,0,0.550,6,0.000,0,0.000,0,0.000,0,0.000,0,0.600,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110543792000,0,0,0.540,6,0.000,0,0.000,0,0.000,0,0.000,0,0.590,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110547543000,0,0,0.540,6,0.520,5,0.000,0,0.000,0,0.000,0,0.590,6,0.620,5,0.000,0,0.000,0,0.000,0,0,0,
110607543000,0,0,0.540,6,0.000,0,0.000,0,0.000,0,0.000,0,0.590,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110607668000,0,0,0.540,6,0.520,5,0.000,0,0.000,0,0.000,0,0.590,6,0.620,5,0.000,0,0.000,0,0.000,0,0,0,
110609416000,0,0,0.530,6,0.520,5,0.000,0,0.000,0,0.000,0,0.580,6,0.620,5,0.000,0,0.000,0,0.000,0,0,0,
110609792000,0,0,0.530,6,0.510,5,0.000,0,0.000,0,0.000,0,0.580,6,0.610,5,0.000,0,0.000,0,0.000,0,0,0,
110629916000,0,0,0.530,6,0.000,0,0.000,0,0.000,0,0.000,0,0.580,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110630418000,0,0,0.530,6,0.510,5,0.000,0,0.000,0,0.000,0,0.580,6,0.610,5,0.000,0,0.000,0,0.000,0,0,0,
110650419000,0,0,0.530,6,0.000,0,0.000,0,0.000,0,0.000,0,0.580,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110653542000,0,0,0.530,6,0.510,5,0.000,0,0.000,0,0.000,0,0.580,6,0.610,5,0.000,0,0.000,0,0.000,0,0,0,
110658166000,0,0,0.520,6,0.510,5,0.000,0,0.000,0,0.000,0,0.570,6,0.610,5,0.000,0,0.000,0,0.000,0,0,0,
110700792000,0,0,0.520,6,0.500,5,0.000,0,0.000,0,0.000,0,0.570,6,0.600,5,0.000,0,0.000,0,0.000,0,0,0,
110720916000,0,0,0.520,6,0.000,0,0.000,0,0.000,0,0.000,0,0.570,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110721042000,0,0,0.520,6,0.500,5,0.000,0,0.000,0,0.000,0,0.570,6,0.600,5,0.000,0,0.000,0,0.000,0,0,0,
110741041000,0,0,0.520,6,0.000,0,0.000,0,0.000,0,0.000,0,0.570,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110742418000,0,0,0.520,6,0.500,5,0.000,0,0.000,0,0.000,0,0.570,6,0.600,5,0.000,0,0.000,0,0.000,0,0,0,
110802417000,0,0,0.520,6,0.000,0,0.000,0,0.000,0,0.000,0,0.570,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110802667000,0,0,0.520,6,0.500,5,0.000,0,0.000,0,0.000,0,0.570,6,0.600,5,0.000,0,0.000,0,0.000,0,0,0,
110822792000,0,0,0.520,6,0.000,0,0.000,0,0.000,0,0.000,0,0.570,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110826041000,0,0,0.520,6,0.500,5,0.000,0,0.000,0,0.000,0,0.570,6,0.600,5,0.000,0,0.000,0,0.000,0,0,0,
110846041000,0,0,0.520,6,0.000,0,0.000,0,0.000,0,0.000,0,0.570,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110846541000,0,0,0.520,6,0.500,5,0.000,0,0.000,0,0.000,0,0.570,6,0.600,5,0.000,0,0.000,0,0.000,0,0,0,
110851417000,0,0,0.510,6,0.500,5,0.000,0,0.000,0,0.000,0,0.560,6,0.600,5,0.000,0,0.000,0,0.000,0,0,0,
110852418000,0,0,0.510,6,0.490,5,0.000,0,0.000,0,0.000,0,0.560,6,0.590,5,0.000,0,0.000,0,0.000,0,0,0,
110912417000,0,0,0.510,6,0.000,0,0.000,0,0.000,0,0.000,0,0.560,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110913291000,0,0,0.510,6,0.490,5,0.000,0,0.000,0,0.000,0,0.560,6,0.590,5,0.000,0,0.000,0,0.000,0,0,0,
110916416000,0,0,0.510,6,0.500,5,0.000,0,0.000,0,0.000,0,0.560,6,0.570,5,0.000,0,0.000,0,0.000,0,0,0,
110936418000,0,0,0.510,6,0.000,0,0.000,0,0.000,0,0.000,0,0.560,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110937166000,0,0,0.510,6,0.500,5,0.000,0,0.000,0,0.000,0,0.560,6,0.570,5,0.000,0,0.000,0,0.000,0,0,0,
110957292000,0,0,0.510,6,0.000,0,0.000,0,0.000,0,0.000,0,0.560,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111000667000,0,0,0.510,6,0.500,5,0.000,0,0.000,0,0.000,0,0.560,6,0.570,5,0.000,0,0.000,0,0.000,0,0,0,
111020667000,0,0,0.510,6,0.000,0,0.000,0,0.000,0,0.000,0,0.560,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111023042000,0,0,0.510,6,0.500,5,0.000,0,0.000,0,0.000,0,0.560,6,0.570,5,0.000,0,0.000,0,0.000,0,0,0,
111028166000,0,0,0.520,6,0.500,5,0.000,0,0.000,0,0.000,0,0.570,11,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111028291000,0,0,0.520,6,0.000,0,0.000,0,0.000,0,0.000,0,0.570,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111029041000,0,0,0.520,6,0.510,5,0.000,0,0.000,0,0.000,0,0.570,6,0.580,5,0.000,0,0.000,0,0.000,0,0,0,
111049041000,0,0,0.520,6,0.000,0,0.000,0,0.000,0,0.000,0,0.570,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111049666000,0,0,0.520,6,0.510,5,0.000,0,0.000,0,0.000,0,0.570,6,0.580,5,0.000,0,0.000,0,0.000,0,0,0,
111109791000,0,0,0.520,6,0.000,0,0.000,0,0.000,0,0.000,0,0.570,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111110041000,0,0,0.520,6,0.510,5,0.000,0,0.000,0,0.000,0,0.570,6,0.580,5,0.000,0,0.000,0,0.000,0,0,0,
111118417000,0,0,0.520,6,0.510,5,0.500,5,0.000,0,0.000,0,0.570,6,0.580,5,0.590,5,0.000,0,0.000,0,0,0,
111130041000,0,0,0.520,6,0.500,5,0.000,0,0.000,0,0.000,0,0.570,6,0.590,5,0.000,0,0.000,0,0.000,0,0,0,
111131291000,0,0,0.520,6,0.510,5,0.500,5,0.000,0,0.000,0,0.570,6,0.580,5,0.590,5,0.000,0,0.000,0,0,0,
111151291000,0,0,0.520,6,0.500,5,0.000,0,0.000,0,0.000,0,0.570,6,0.590,5,0.000,0,0.000,0,0.000,0,0,0,
111151668000,0,0,0.520,6,0.510,5,0.500,5,0.000,0,0.000,0,0.570,6,0.580,5,0.590,5,0.000,0,0.000,0,0,0,
111201917000,0,0,0.530,6,0.510,5,0.500,5,0.000,0,0.000,0,0.580,11,0.590,5,0.000,0,0.000,0,0.000,0,0,0,
111202045000,0,0,0.530,6,0.510,10,0.000,0,0.000,0,0.000,0,0.580,11,0.600,5,0.000,0,0.000,0,0.000,0,0,0,
111202168000,0,0,0.530,6,0.510,5,0.000,0,0.000,0,0.000,0,0.580,6,0.600,5,0.000,0,0.000,0,0.000,0,0,0,
111202666000,0,0,0.530,6,0.520,5,0.510,5,0.000,0,0.000,0,0.580,6,0.590,5,0.600,5,0.000,0,0.000,0,0,0,
111222792000,0,0,0.530,6,0.510,5,0.000,0,0.000,0,0.000,0,0.580,6,0.600,5,0.000,0,0.000,0,0.000,0,0,0,
111223043000,0,0,0.530,6,0.520,5,0.510,5,0.000,0,0.000,0,0.580,6,0.590,5,0.600,5,0.000,0,0.000,0,0,0,
111240042000,0,0,0.540,6,0.520,5,0.510,5,0.000,0,0.000,0,0.590,11,0.600,5,0.000,0,0.000,0,0.000,0,0,0,
111240166000,0,0,0.540,6,0.520,10,0.000,0,0.000,0,0.000,0,0.590,11,0.610,5,0.000,0,0.000,0,0.000,0,0,0,
111240416000,0,0,0.540,6,0.520,5,0.000,0,0.000,0,0.000,0,0.590,6,0.610,5,0.000,0,0.000,0,0.000,0,0,0,
111241041000,0,0,0.540,6,0.530,5,0.520,5,0.000,0,0.000,0,0.590,6,0.600,5,0.610,5,0.000,0,0.000,0,0,0,
111244416000,0,0,0.540,6,0.530,5,0.510,5,0.000,0,0.000,0,0.590,6,0.600,5,0.610,5,0.000,0,0.000,0,0,0,
111301043000,0,0,0.540,6,0.510,5,0.000,0,0.000,0,0.000,0,0.590,6,0.610,5,0.000,0,0.000,0,0.000,0,0,0,
111301166000,0,0,0.540,6,0.530,5,0.510,5,0.000,0,0.000,0,0.590,6,0.600,5,0.610,5,0.000,0,0.000,0,0,0,
111321166000,0,0,0.540,6,0.510,5,0.000,0,0.000,0,0.000,0,0.590,6,0.610,5,0.000,0,0.000,0,0.000,0,0,0,
111321791000,0,0,0.540,6,0.530,5,0.510,5,0.000,0,0.000,0,0.590,6,0.600,5,0.610,5,0.000,0,0.000,0,0,0,
111328041000,0,0,0.540,6,0.530,5,0.520,5,0.000,0,0.000,0,0.590,6,0.600,5,0.610,5,0.000,0,0.000,0,0,0,
111339291000,0,0,0.550,6,0.530,5,0.520,5,0.000,0,0.000,0,0.600,11,0.610,5,0.000,0,0.000,0,0.000,0,0,0,
111339416000,0,0,0.550,6,0.530,5,0.000,0,0.000,0,0.000,0,0.600,6,0.620,5,0.000,0,0.000,0,0.000,0,0,0,
111340042000,0,0,0.550,6,0.540,5,0.530,5,0.000,0,0.000,0,0.600,6,0.610,5,0.620,5,0.000,0,0.000,0,0,0,
111342666000,0,0,0.560,6,0.540,5,0.530,5,0.000,0,0.000,0,0.610,11,0.620,5,0.000,0,0.000,0,0.000,0,0,0,
111342791000,0,0,0.560,6,0.540,5,0.000,0,0.000,0,0.000,0,0.610,6,0.630,5,0.000,0,0.000,0,0.000,0,0,0,
111343041000,0,0,0.560,6,0.550,5,0.540,5,0.000,0,0.000,0,0.610,6,0.620,5,0.630,5,0.000,0,0.000,0,0,0,
111403042000,0,0,0.560,6,0.540,5,0.000,0,0.000,0,0.000,0,0.610,6,0.630,5,0.000,0,0.000,0,0.000,0,0,0,
111403543000,0,0,0.560,6,0.550,5,0.540,5,0.000,0,0.000,0,0.610,6,0.620,5,0.630,5,0.000,0,0.000,0,0,0,
111408666000,0,0,0.570,6,0.550,5,0.540,5,0.000,0,0.000,0,0.620,11,0.630,5,0.000,0,0.000,0,0.000,0,0,0,
111408791000,0,0,0.570,6,0.550,10,0.000,0,0.000,0,0.000,0,0.620,11,0.640,5,0.000,0,0.000,0,0.000,0,0,0,
111409292000,0,0,0.570,6,0.550,5,0.000,0,0.000,0,0.000,0,0.620,6,0.640,5,0.000,0,0.000,0,0.000,0,0,0,
111410668000,0,0,0.570,6,0.560,5,0.550,5,0.000,0,0.000,0,0.620,6,0.630,5,0.640,5,0.000,0,0.000,0,0,0,
111412043000,0,0,0.570,6,0.560,5,0.540,5,0.000,0,0.000,0,0.620,6,0.630,5,0.640,5,0.000,0,0.000,0,0,0,
111413666000,0,0,0.560,11,0.540,5,0.000,0,0.000,0,0.000,0,0.610,6,0.630,5,0.640,5,0.000,0,0.000,0,0,0,
111413916000,0,0,0.560,11,0.530,5,0.000,0,0.000,0,0.000,0,0.610,6,0.630,10,0.000,0,0.000,0,0.000,0,0,0,
111414042000,0,0,0.560,6,0.530,5,0.000,0,0.000,0,0.000,0,0.610,6,0.630,5,0.000,0,0.000,0,0.000,0,0,0,
111414791000,0,0,0.560,6,0.550,5,0.530,5,0.000,0,0.000,0,0.610,6,0.620,5,0.630,5,0.000,0,0.000,0,0,0,
111434792000,0,0,0.560,6,0.530,5,0.000,0,0.000,0,0.000,0,0.610,6,0.630,5,0.000,0,0.000,0,0.000,0,0,0,
111435916000,0,0,0.560,6,0.550,5,0.530,5,0.000,0,0.000,0,0.610,6,0.620,5,0.630,5,0.000,0,0.000,0,0,0,
111438292000,0,0,0.560,6,0.550,5,0.540,5,0.000,0,0.000,0,0.610,6,0.620,5,0.630,5,0.000,0,0.000,0,0,0,
111455916000,0,0,0.560,6,0.540,5,0.000,0,0.000,0,0.000,0,0.610,6,0.630,5,0.000,0,0.000,0,0.000,0,0,0,
111456041000,0,0,0.560,6,0.550,5,0.540,5,0.000,0,0.000,0,0.610,6,0.620,5,0.630,5,0.000,0,0.000,0,0,0,
111500042000,0,0,0.570,6,0.550,5,0.540,5,0.000,0,0.000,0,0.620,11,0.630,5,0.000,0,0.000,0,0.000,0,0,0,
111500167000,0,0,0.570,6,0.550,10,0.000,0,0.000,0,0.000,0,0.620,11,0.640,5,0.000,0,0.000,0,0.000,0,0,0,
111500542000,0,0,0.570,6,0.550,5,0.000,0,0.000,0,0.000,0,0.620,6,0.640,5,0.000,0,0.000,0,0.000,0,0,0,
111502420000,0,0,0.570,6,0.560,5,0.550,5,0.000,0,0.000,0,0.620,6,0.630,5,0.640,5,0.000,0,0.000,0,0,0,
111507918000,0,0,0.570,6,0.560,5,0.540,5,0.000,0,0.000,0,0.620,6,0.630,5,0.640,5,0.000,0,0.000,0,0,0,
111508791000,0,0,0.570,6,0.560,5,0.550,5,0.000,0,0.000,0,0.620,6,0.630,5,0.640,5,0.000,0,0.000,0,0,0,
111522417000,0,0,0.570,6,0.550,5,0.000,0,0.000,0,0.000,0,0.620,6,0.640,5,0.000,0,0.000,0,0.000,0,0,0,
111526042000,0,0,0.570,6,0.560,5,0.550,5,0.000,0,0.000,0,0.620,6,0.630,5,0.640,5,0.000,0,0.000,0,0,0,
111546041000,0,0,0.570,6,0.550,5,0.000,0,0.000,0,0.000,0,0.620,6,0.640,5,0.000,0,0.000,0,0.000,0,0,0,
111546167000,0,0,0.570,6,0.560,5,0.550,5,0.000,0,0.000,0,0.620,6,0.630,5,0.640,5,0.000,0,0.000,0,0,0,
111551292000,0,0,0.580,6,0.560,5,0.550,5,0.000,0,0.000,0,0.630,11,0.640,5,0.000,0,0.000,0,0.000,0,0,0,
111551416000,0,0,0.580,6,0.560,10,0.000,0,0.000,0,0.000,0,0.630,11,0.650,5,0.000,0,0.000,0,0.000,0,0,0,
111551916000,0,0,0.580,6,0.560,5,0.000,0,0.000,0,0.000,0,0.630,6,0.650,5,0.000,0,0.000,0,0.000,0,0,0,
111553167000,0,0,0.580,6,0.570,5,0.560,5,0.000,0,0.000,0,0.630,6,0.640,5,0.650,5,0.000,0,0.000,0,0,0,
111613291000,0,0,0.580,6,0.560,5,0.000,0,0.000,0,0.000,0,0.630,6,0.650,5,0.000,0,0.000,0,0.000,0,0,0,
