Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
92217374000,0,0,0.540,6,0,0,0,0,0,0,0,0,0.620,6,0,0,0,0,0,0,0,0,0,0,
92217972000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92341407000,0,0,0.550,6,0,0,0,0,0,0,0,0,0.640,6,0,0,0,0,0,0,0,0,0,0,
92349974000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92418040000,0,0,0.550,6,0,0,0,0,0,0,0,0,0.630,6,0,0,0,0,0,0,0,0,0,0,
92424321000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92542018000,0,0,0.550,6,0,0,0,0,0,0,0,0,0.640,6,0,0,0,0,0,0,0,0,0,0,
92544259000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92811318000,0,0,0.550,6,0,0,0,0,0,0,0,0,0.640,6,0,0,0,0,0,0,0,0,0,0,
92816795000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92844861000,0,0,0.560,6,0,0,0,0,0,0,0,0,0.650,6,0,0,0,0,0,0,0,0,0,0,
92900436000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93837687000,0,0,0.560,6,0,0,0,0,0,0,0,0,0.640,6,0,0,0,0,0,0,0,0,0,0,
93902534000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93902591000,0,0,0.570,6,0,0,0,0,0,0,0,0,0.650,6,0,0,0,0,0,0,0,0,0,0,
93903835000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94156195000,0,0,0.570,6,0,0,0,0,0,0,0,0,0.660,6,0,0,0,0,0,0,0,0,0,0,
94203411000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94215442000,0,0,0.590,6,0,0,0,0,0,0,0,0,0.680,6,0,0,0,0,0,0,0,0,0,0,
94225127000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94236450000,0,0,0.600,6,0,0,0,0,0,0,0,0,0.690,6,0,0,0,0,0,0,0,0,0,0,
94253443000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94541508000,0,0,0.560,6,0,0,0,0,0,0,0,0,0.620,6,0,0,0,0,0,0,0,0,0,0,
94545054000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94552528000,0,0,0.570,6,0,0,0,0,0,0,0,0,0.630,6,0,0,0,0,0,0,0,0,0,0,
94559467000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94634545000,0,0,0.570,6,0,0,0,0,0,0,0,0,0.650,6,0,0,0,0,0,0,0,0,0,0,
