Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
114800167000,0,0,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114803166000,0,0,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
114823291000,0,0,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114824666000,0,0,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
114844792000,0,0,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
114904916000,0,0,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114905166000,0,0,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
114925291000,0,0,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114927916000,0,0,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
114948041000,0,0,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114950541000,0,0,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
115010541000,0,0,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
115010666000,0,0,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
115030791000,0,0,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
115032166000,0,0,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
115045291000,0,0,0.010,16,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,5,0.110,5,0.000,0,0.000,0,0,0,
115045791000,0,0,0.010,16,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,5,0.080,5,0.000,0,0.000,0,0,0,
115105916000,0,0,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,5,0.000,0,0.000,0,0.000,0,0,0,
115106291000,0,0,0.010,16,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,5,0.080,5,0.000,0,0.000,0,0,0,
115126417000,0,0,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,5,0.000,0,0.000,0,0.000,0,0,0,
115126666000,0,0,0.010,16,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,5,0.080,5,0.000,0,0.000,0,0,0,
115146667000,0,0,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,5,0.000,0,0.000,0,0.000,0,0,0,
115146916000,0,0,0.010,16,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,5,0.080,5,0.000,0,0.000,0,0,0,
115203666000,0,0,0.010,21,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.080,5,0.000,0,0.000,0,0,0,
115206916000,0,0,0.010,16,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.000,0,0.000,0,0.000,0,0,0,
115207541000,0,0,0.010,21,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.080,5,0.000,0,0.000,0,0,0,
115227541000,0,0,0.010,16,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.000,0,0.000,0,0.000,0,0,0,
115228666000,0,0,0.010,21,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.080,5,0.000,0,0.000,0,0,0,
115248666000,0,0,0.010,16,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.000,0,0.000,0,0.000,0,0,0,
115249166000,0,0,0.010,21,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.080,5,0.000,0,0.000,0,0,0,
115309291000,0,0,0.010,16,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.000,0,0.000,0,0.000,0,0,0,
115309542000,0,0,0.010,21,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.080,5,0.000,0,0.000,0,0,0,
115329541000,0,0,0.010,16,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.000,0,0.000,0,0.000,0,0,0,
115330041000,0,0,0.010,21,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.080,5,0.000,0,0.000,0,0,0,
115350166000,0,0,0.010,21,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.080,5,0.000,0,0.000,0,0,0,
115410291000,0,0,0.010,16,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.000,0,0.000,0,0.000,0,0,0,
115410916000,0,0,0.010,21,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.080,5,0.000,0,0.000,0,0,0,
115430917000,0,0,0.010,16,0.000,0,0.000,0,0.000,0,0.000,0,0.040,6,0.060,10,0.000,0,0.000,0,0.000,0,0,0,
