Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
92619665000,0,0,0.300,6,0,0,0,0,0,0,0,0,0.360,6,0,0,0,0,0,0,0,0,0,0,
92828035000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93847806000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.360,6,0,0,0,0,0,0,0,0,0,0,
93901071000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93901811000,0,0,0.300,6,0,0,0,0,0,0,0,0,0.360,6,0,0,0,0,0,0,0,0,0,0,
93948034000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93948034000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.360,6,0,0,0,0,0,0,0,0,0,0,
93953926000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93955037000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.360,6,0,0,0,0,0,0,0,0,0,0,
93957924000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94002039000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.360,6,0,0,0,0,0,0,0,0,0,0,
94002633000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94009042000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.360,6,0,0,0,0,0,0,0,0,0,0,
94022157000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94023048000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.360,6,0,0,0,0,0,0,0,0,0,0,
94023226000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94030050000,0,0,0.320,6,0,0,0,0,0,0,0,0,0.360,6,0,0,0,0,0,0,0,0,0,0,
94031869000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94037053000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.360,6,0,0,0,0,0,0,0,0,0,0,
94037228000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94044056000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.360,6,0,0,0,0,0,0,0,0,0,0,
94048484000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94051059000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.360,6,0,0,0,0,0,0,0,0,0,0,
94203423000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94210425000,0,0,0.300,6,0,0,0,0,0,0,0,0,0.350,6,0,0,0,0,0,0,0,0,0,0,
94225079000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94231433000,0,0,0.290,6,0,0,0,0,0,0,0,0,0.340,6,0,0,0,0,0,0,0,0,0,0,
94306447000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94306447000,0,0,0.300,6,0,0,0,0,0,0,0,0,0.340,6,0,0,0,0,0,0,0,0,0,0,
94339368000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94341461000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.340,6,0,0,0,0,0,0,0,0,0,0,
94341619000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94342489000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.340,6,0,0,0,0,0,0,0,0,0,0,
94350150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94355467000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.340,6,0,0,0,0,0,0,0,0,0,0,
94401251000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94402470000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.340,6,0,0,0,0,0,0,0,0,0,0,
94414724000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94416475000,0,0,0.310,6,0,0,0,0,0,0,0,0,0.350,6,0,0,0,0,0,0,0,0,0,0,
94501664000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94505495000,0,0,0.320,6,0,0,0,0,0,0,0,0,0.360,6,0,0,0,0,0,0,0,0,0,0,
94600465000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
