Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
92626668000,0,0,0.120,6,0,0,0,0,0,0,0,0,0.170,6,0,0,0,0,0,0,0,0,0,0,
92636519000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92640673000,0,0,0.120,6,0,0,0,0,0,0,0,0,0.170,6,0,0,0,0,0,0,0,0,0,0,
92828035000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93854808000,0,0,0.120,6,0,0,0,0,0,0,0,0,0.160,6,0,0,0,0,0,0,0,0,0,0,
93901071000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93915817000,0,0,0.120,6,0,0,0,0,0,0,0,0,0.170,6,0,0,0,0,0,0,0,0,0,0,
93955037000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93955037000,0,0,0.120,6,0,0,0,0,0,0,0,0,0.160,6,0,0,0,0,0,0,0,0,0,0,
93957924000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94002039000,0,0,0.120,6,0,0,0,0,0,0,0,0,0.160,6,0,0,0,0,0,0,0,0,0,0,
94002633000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94112067000,0,0,0.120,6,0,0,0,0,0,0,0,0,0.160,6,0,0,0,0,0,0,0,0,0,0,
94203422000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94238436000,0,0,0.130,6,0,0,0,0,0,0,0,0,0.180,6,0,0,0,0,0,0,0,0,0,0,
94314478000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94314478000,0,0,0.130,6,0,0,0,0,0,0,0,0,0.170,6,0,0,0,0,0,0,0,0,0,0,
94421027000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94430481000,0,0,0.130,6,0,0,0,0,0,0,0,0,0.160,6,0,0,0,0,0,0,0,0,0,0,
94501664000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94512497000,0,0,0.120,6,0,0,0,0,0,0,0,0,0.150,6,0,0,0,0,0,0,0,0,0,0,
94600465000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94600520000,0,0,0.130,6,0,0,0,0,0,0,0,0,0.160,6,0,0,0,0,0,0,0,0,0,0,
94611458000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94621474000,0,0,0.130,6,0,0,0,0,0,0,0,0,0.170,6,0,0,0,0,0,0,0,0,0,0,
94759105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94804703000,0,0,0.130,6,0,0,0,0,0,0,0,0,0.170,6,0,0,0,0,0,0,0,0,0,0,
95310215000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95324275000,0,0,0.130,6,0,0,0,0,0,0,0,0,0.170,6,0,0,0,0,0,0,0,0,0,0,
95850555000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95925569000,0,0,0.120,6,0,0,0,0,0,0,0,0,0.160,6,0,0,0,0,0,0,0,0,0,0,
100534292000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100537026000,0,0,0.120,6,0,0,0,0,0,0,0,0,0.170,6,0,0,0,0,0,0,0,0,0,0,
100619778000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100619778000,0,0,0.130,6,0,0,0,0,0,0,0,0,0.170,6,0,0,0,0,0,0,0,0,0,0,
101315669000,0,0,0.130,6,0.120,5,0,0,0,0,0,0,0.170,6,0.180,5,0,0,0,0,0,0,0,0,
102025329000,0,0,0.130,6,0.120,10,0,0,0,0,0,0,0.170,6,0.180,5,0.190,5,0,0,0,0,0,0,
102045400000,0,0,0.130,6,0.120,5,0,0,0,0,0,0,0.170,6,0.180,5,0,0,0,0,0,0,0,0,
102045448000,0,0,0.130,6,0.120,10,0,0,0,0,0,0,0.170,6,0.180,5,0.190,5,0,0,0,0,0,0,
102105500000,0,0,0.130,6,0.120,5,0,0,0,0,0,0,0.170,6,0.180,5,0,0,0,0,0,0,0,0,
102105626000,0,0,0.130,6,0.120,10,0,0,0,0,0,0,0.170,6,0.180,5,0.190,5,0,0,0,0,0,0,
102125700000,0,0,0.130,6,0.120,5,0,0,0,0,0,0,0.170,6,0.180,5,0,0,0,0,0,0,0,0,
102125762000,0,0,0.130,6,0.120,10,0,0,0,0,0,0,0.170,6,0.180,5,0.190,5,0,0,0,0,0,0,
102145800000,0,0,0.130,6,0.120,5,0,0,0,0,0,0,0.170,6,0.180,5,0,0,0,0,0,0,0,0,
102145830000,0,0,0.130,6,0.120,10,0,0,0,0,0,0,0.170,6,0.180,5,0.190,5,0,0,0,0,0,0,
102205900000,0,0,0.130,6,0.120,5,0,0,0,0,0,0,0.170,6,0.180,5,0,0,0,0,0,0,0,0,
102205931000,0,0,0.130,6,0.120,10,0,0,0,0,0,0,0.170,6,0.180,5,0.190,5,0,0,0,0,0,0,
102226000000,0,0,0.130,6,0.120,5,0,0,0,0,0,0,0.170,6,0.180,5,0,0,0,0,0,0,0,0,
102226056000,0,0,0.130,6,0.120,10,0,0,0,0,0,0,0.170,6,0.180,5,0.190,5,0,0,0,0,0,0,
102246100000,0,0,0.130,6,0.120,5,0,0,0,0,0,0,0.170,6,0.180,5,0,0,0,0,0,0,0,0,
102246188000,0,0,0.130,6,0.120,10,0,0,0,0,0,0,0.170,6,0.180,5,0.190,5,0,0,0,0,0,0,
102306200000,0,0,0.130,6,0.120,5,0,0,0,0,0,0,0.170,6,0.180,5,0,0,0,0,0,0,0,0,
102306320000,0,0,0.130,6,0.120,10,0,0,0,0,0,0,0.170,6,0.180,5,0.190,5,0,0,0,0,0,0,
102326400000,0,0,0.130,6,0.120,5,0,0,0,0,0,0,0.170,6,0.180,5,0,0,0,0,0,0,0,0,
102326413000,0,0,0.130,6,0.120,10,0,0,0,0,0,0,0.170,6,0.180,5,0.190,5,0,0,0,0,0,0,
102346500000,0,0,0.130,6,0.120,5,0,0,0,0,0,0,0.170,6,0.180,5,0,0,0,0,0,0,0,0,
102346524000,0,0,0.130,6,0.120,10,0,0,0,0,0,0,0.170,6,0.180,5,0.190,5,0,0,0,0,0,0,
102406600000,0,0,0.130,6,0.120,5,0,0,0,0,0,0,0.170,6,0.180,5,0,0,0,0,0,0,0,0,
102406647000,0,0,0.130,6,0.120,10,0,0,0,0,0,0,0.170,6,0.180,5,0.190,5,0,0,0,0,0,0,
102426700000,0,0,0.130,6,0.120,5,0,0,0,0,0,0,0.170,6,0.180,5,0,0,0,0,0,0,0,0,
102426772000,0,0,0.130,6,0.120,10,0,0,0,0,0,0,0.170,6,0.180,5,0.190,5,0,0,0,0,0,0,
102429745000,0,0,0.120,10,0,0,0,0,0,0,0,0,0.180,5,0.190,5,0,0,0,0,0,0,0,0,
102429745000,0,0,0.120,16,0,0,0,0,0,0,0,0,0.160,6,0.180,5,0.190,5,0,0,0,0,0,0,
102429788000,0,0,0.120,11,0,0,0,0,0,0,0,0,0.160,6,0.190,5,0,0,0,0,0,0,0,0,
102429788000,0,0,0.120,11,0.110,5,0,0,0,0,0,0,0.160,6,0.180,5,0.190,5,0,0,0,0,0,0,
102429835000,0,0,0.120,6,0.110,5,0,0,0,0,0,0,0.160,6,0.180,5,0,0,0,0,0,0,0,0,
102429835000,0,0,0.120,6,0.110,10,0,0,0,0,0,0,0.160,6,0.180,10,0,0,0,0,0,0,0,0,
102430012000,0,0,0.120,6,0.110,5,0,0,0,0,0,0,0.160,6,0.180,5,0,0,0,0,0,0,0,0,
102430012000,0,0,0.120,6,0.110,10,0,0,0,0,0,0,0.160,6,0.170,5,0.180,5,0,0,0,0,0,0,
102449900000,0,0,0.120,6,0.110,5,0,0,0,0,0,0,0.160,6,0.170,5,0,0,0,0,0,0,0,0,
