Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
100811792000,0,0,1.740,5,0.000,0,0.000,0,0.000,0,0.000,0,1.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100815167000,0,0,1.740,5,1.680,5,0.000,0,0.000,0,0.000,0,1.850,5,1.920,5,0.000,0,0.000,0,0.000,0,0,0,
100835166000,0,0,1.740,5,0.000,0,0.000,0,0.000,0,0.000,0,1.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100835291000,0,0,1.740,5,1.680,5,0.000,0,0.000,0,0.000,0,1.850,5,1.920,5,0.000,0,0.000,0,0.000,0,0,0,
100848666000,0,0,1.680,5,0.000,0,0.000,0,0.000,0,0.000,0,1.920,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100848791000,0,0,1.730,5,1.680,5,0.000,0,0.000,0,0.000,0,1.850,5,1.920,5,0.000,0,0.000,0,0.000,0,0,0,
100849916000,0,0,1.730,5,1.670,5,0.000,0,0.000,0,0.000,0,1.850,5,1.910,5,0.000,0,0.000,0,0.000,0,0,0,
100909917000,0,0,1.730,5,0.000,0,0.000,0,0.000,0,0.000,0,1.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100910168000,0,0,1.730,5,1.670,5,0.000,0,0.000,0,0.000,0,1.850,5,1.910,5,0.000,0,0.000,0,0.000,0,0,0,
100930166000,0,0,1.730,5,0.000,0,0.000,0,0.000,0,0.000,0,1.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100930666000,0,0,1.730,5,1.670,5,0.000,0,0.000,0,0.000,0,1.850,5,1.910,5,0.000,0,0.000,0,0.000,0,0,0,
100948167000,0,0,1.720,5,1.670,5,0.000,0,0.000,0,0.000,0,1.840,5,1.910,5,0.000,0,0.000,0,0.000,0,0,0,
100948292000,0,0,1.720,5,1.660,5,0.000,0,0.000,0,0.000,0,1.840,5,1.900,5,0.000,0,0.000,0,0.000,0,0,0,
