Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
100804791000,0,0,0.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100808666000,0,0,0.120,5,0.090,5,0.000,0,0.000,0,0.000,0,0.180,5,0.210,5,0.000,0,0.000,0,0.000,0,0,0,
100828792000,0,0,0.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100830416000,0,0,0.120,5,0.090,5,0.000,0,0.000,0,0.000,0,0.180,5,0.210,5,0.000,0,0.000,0,0.000,0,0,0,
100850416000,0,0,0.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100851041000,0,0,0.120,5,0.090,5,0.000,0,0.000,0,0.000,0,0.180,5,0.210,5,0.000,0,0.000,0,0.000,0,0,0,
100911043000,0,0,0.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100911542000,0,0,0.120,5,0.090,5,0.000,0,0.000,0,0.000,0,0.180,5,0.210,5,0.000,0,0.000,0,0.000,0,0,0,
100931542000,0,0,0.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100933041000,0,0,0.120,5,0.090,5,0.000,0,0.000,0,0.000,0,0.180,5,0.210,5,0.000,0,0.000,0,0.000,0,0,0,
100953167000,0,0,0.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100953542000,0,0,0.120,5,0.090,5,0.000,0,0.000,0,0.000,0,0.180,5,0.210,5,0.000,0,0.000,0,0.000,0,0,0,
101013542000,0,0,0.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101015417000,0,0,0.120,5,0.090,5,0.000,0,0.000,0,0.000,0,0.180,5,0.210,5,0.000,0,0.000,0,0.000,0,0,0,
101035416000,0,0,0.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101035541000,0,0,0.120,5,0.090,5,0.000,0,0.000,0,0.000,0,0.180,5,0.210,5,0.000,0,0.000,0,0.000,0,0,0,
101039041000,0,0,0.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0.210,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101039166000,0,0,0.130,5,0.090,5,0.000,0,0.000,0,0.000,0,0.190,5,0.210,5,0.000,0,0.000,0,0.000,0,0,0,
101040041000,0,0,0.130,5,0.100,5,0.000,0,0.000,0,0.000,0,0.190,5,0.220,5,0.000,0,0.000,0,0.000,0,0,0,
101100041000,0,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101100667000,0,0,0.130,5,0.100,5,0.000,0,0.000,0,0.000,0,0.190,5,0.220,5,0.000,0,0.000,0,0.000,0,0,0,
101120668000,0,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101121417000,0,0,0.130,5,0.100,5,0.000,0,0.000,0,0.000,0,0.190,5,0.220,5,0.000,0,0.000,0,0.000,0,0,0,
101141416000,0,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101141792000,0,0,0.130,5,0.100,5,0.000,0,0.000,0,0.000,0,0.190,5,0.220,5,0.000,0,0.000,0,0.000,0,0,0,
101201916000,0,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101203167000,0,0,0.130,5,0.100,5,0.000,0,0.000,0,0.000,0,0.190,5,0.220,5,0.000,0,0.000,0,0.000,0,0,0,
101223167000,0,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101223667000,0,0,0.130,5,0.100,5,0.000,0,0.000,0,0.000,0,0.190,5,0.220,5,0.000,0,0.000,0,0.000,0,0,0,
101243666000,0,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101244168000,0,0,0.130,5,0.100,5,0.000,0,0.000,0,0.000,0,0.190,5,0.220,5,0.000,0,0.000,0,0.000,0,0,0,
101304292000,0,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101306793000,0,0,0.130,5,0.100,5,0.000,0,0.000,0,0.000,0,0.190,5,0.220,5,0.000,0,0.000,0,0.000,0,0,0,
101326917000,0,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101327167000,0,0,0.130,5,0.100,5,0.000,0,0.000,0,0.000,0,0.190,5,0.220,5,0.000,0,0.000,0,0.000,0,0,0,
