Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
110938166000,0,0,0.010,10,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
110939791000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111724541000,0,0,0.010,10,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
111748167000,0,0,0.010,15,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,5,0.110,5,0.000,0,0.000,0,0,0,
111855916000,0,0,0.010,10,0.000,0,0.000,0,0.000,0,0.000,0,0.080,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
111856041000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
111956541000,0,0,0.010,10,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
111956666000,0,0,0.010,15,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,5,0.110,5,0.000,0,0.000,0,0,0,
113337916000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,25,0.110,5,0.000,0,0.000,0,0,0,
113437916000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,25,0.110,5,0.000,0,0.000,0,0,0,
113538041000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,25,0.110,5,0.000,0,0.000,0,0,0,
113638041000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,25,0.110,5,0.000,0,0.000,0,0,0,
113738041000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,25,0.110,5,0.000,0,0.000,0,0,0,
113838041000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,25,0.110,5,0.000,0,0.000,0,0,0,
113938041000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,25,0.110,5,0.000,0,0.000,0,0,0,
114038041000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,25,0.110,5,0.000,0,0.000,0,0,0,
114138042000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,25,0.110,5,0.000,0,0.000,0,0,0,
114238041000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,25,0.110,5,0.000,0,0.000,0,0,0,
114338041000,0,0,0.010,35,0.000,0,0.000,0,0.000,0,0.000,0,0.060,5,0.080,25,0.110,5,0.000,0,0.000,0,0,0,
114345666000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,25,0.110,5,0.000,0,0,0,
114345791000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,10,0.080,20,0.110,5,0.000,0,0,0,
114415542000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
114438166000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
114538166000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
114638166000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
114738167000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
114838167000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
114938166000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
115038166000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
115138166000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
115238166000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
115338291000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
115438291000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
115538291000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
115638291000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
115738291000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
115838292000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
115938291000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
120038291000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
120138291000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
120238291000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
120338292000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
120438417000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
120538416000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
120638416000,0,0,0.010,55,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.110,10,0.000,0,0,0,
