Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
92626668000,0,0,1.980,6,0,0,0,0,0,0,0,0,2.120,6,0,0,0,0,0,0,0,0,0,0,
92701014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92756298000,0,0,1.980,6,0,0,0,0,0,0,0,0,2.120,6,0,0,0,0,0,0,0,0,0,0,
92802198000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92810303000,0,0,1.980,6,0,0,0,0,0,0,0,0,2.130,6,0,0,0,0,0,0,0,0,0,0,
92811987000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93901811000,0,0,2.020,6,0,0,0,0,0,0,0,0,2.130,6,0,0,0,0,0,0,0,0,0,0,
93902534000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93908813000,0,0,2.030,6,0,0,0,0,0,0,0,0,2.140,6,0,0,0,0,0,0,0,0,0,0,
93912283000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93915816000,0,0,2.020,6,0,0,0,0,0,0,0,0,2.130,6,0,0,0,0,0,0,0,0,0,0,
93948035000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93955038000,0,0,2.020,6,0,0,0,0,0,0,0,0,2.120,6,0,0,0,0,0,0,0,0,0,0,
94004676000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94016046000,0,0,2.020,6,0,0,0,0,0,0,0,0,2.100,6,0,0,0,0,0,0,0,0,0,0,
94018195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94037054000,0,0,2.000,6,0,0,0,0,0,0,0,0,2.120,6,0,0,0,0,0,0,0,0,0,0,
94102069000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94112068000,0,0,2.010,6,0,0,0,0,0,0,0,0,2.130,6,0,0,0,0,0,0,0,0,0,0,
94113188000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94133077000,0,0,2.030,6,0,0,0,0,0,0,0,0,2.140,6,0,0,0,0,0,0,0,0,0,0,
94201353000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94201408000,0,0,2.040,6,0,0,0,0,0,0,0,0,2.150,6,0,0,0,0,0,0,0,0,0,0,
94203514000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94222416000,0,0,2.050,6,0,0,0,0,0,0,0,0,2.170,6,0,0,0,0,0,0,0,0,0,0,
94225019000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94236422000,0,0,2.070,6,0,0,0,0,0,0,0,0,2.180,6,0,0,0,0,0,0,0,0,0,0,
94300400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94300455000,0,0,2.060,6,0,0,0,0,0,0,0,0,2.160,6,0,0,0,0,0,0,0,0,0,0,
94301911000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94321464000,0,0,2.040,6,0,0,0,0,0,0,0,0,2.150,6,0,0,0,0,0,0,0,0,0,0,
94328466000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94328466000,0,0,2.040,6,0,0,0,0,0,0,0,0,2.130,6,0,0,0,0,0,0,0,0,0,0,
94334089000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94335469000,0,0,2.040,6,0,0,0,0,0,0,0,0,2.130,6,0,0,0,0,0,0,0,0,0,0,
94339369000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94342472000,0,0,2.040,6,0,0,0,0,0,0,0,0,2.130,6,0,0,0,0,0,0,0,0,0,0,
94342622000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94356477000,0,0,2.040,6,0,0,0,0,0,0,0,0,2.130,6,0,0,0,0,0,0,0,0,0,0,
94356525000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94403480000,0,0,2.040,6,0,0,0,0,0,0,0,0,2.130,6,0,0,0,0,0,0,0,0,0,0,
94405892000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94410483000,0,0,2.040,6,0,0,0,0,0,0,0,0,2.120,6,0,0,0,0,0,0,0,0,0,0,
94414084000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94424489000,0,0,2.040,6,0,0,0,0,0,0,0,0,2.120,6,0,0,0,0,0,0,0,0,0,0,
94435275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94456284000,0,0,2.040,6,0,0,0,0,0,0,0,0,2.120,6,0,0,0,0,0,0,0,0,0,0,
94456774000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94513508000,0,0,2.030,6,0,0,0,0,0,0,0,0,2.100,6,0,0,0,0,0,0,0,0,0,0,
94534088000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94609102000,0,0,2.030,6,0,0,0,0,0,0,0,0,2.120,6,0,0,0,0,0,0,0,0,0,0,
94611320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
