Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
93840802000,0,0,1.090,6,0,0,0,0,0,0,0,0,1.190,6,0,0,0,0,0,0,0,0,0,0,
93901072000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94431491000,0,0,1.110,6,0,0,0,0,0,0,0,0,1.180,6,0,0,0,0,0,0,0,0,0,0,
94435275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94456284000,0,0,1.110,6,0,0,0,0,0,0,0,0,1.180,6,0,0,0,0,0,0,0,0,0,0,
94456774000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94513508000,0,0,1.110,6,0,0,0,0,0,0,0,0,1.160,6,0,0,0,0,0,0,0,0,0,0,
94534088000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94609102000,0,0,1.110,6,0,0,0,0,0,0,0,0,1.190,6,0,0,0,0,0,0,0,0,0,0,
94611320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94651119000,0,0,1.110,6,0,0,0,0,0,0,0,0,1.200,6,0,0,0,0,0,0,0,0,0,0,
94653963000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94705125000,0,0,1.110,6,0,0,0,0,0,0,0,0,1.200,6,0,0,0,0,0,0,0,0,0,0,
94712284000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94733348000,0,0,1.110,6,0,0,0,0,0,0,0,0,1.210,6,0,0,0,0,0,0,0,0,0,0,
94743633000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94900252000,0,0,1.110,6,0,0,0,0,0,0,0,0,1.210,6,0,0,0,0,0,0,0,0,0,0,
94924666000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94930368000,0,0,1.120,6,0,0,0,0,0,0,0,0,1.210,6,0,0,0,0,0,0,0,0,0,0,
94936931000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94937371000,0,0,1.120,6,0,0,0,0,0,0,0,0,1.220,6,0,0,0,0,0,0,0,0,0,0,
95046179000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95046234000,0,0,1.130,6,0,0,0,0,0,0,0,0,1.230,6,0,0,0,0,0,0,0,0,0,0,
95102933000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95313506000,0,0,1.130,6,0,0,0,0,0,0,0,0,1.230,6,0,0,0,0,0,0,0,0,0,0,
95349698000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95431715000,0,0,1.090,6,0,0,0,0,0,0,0,0,1.190,6,0,0,0,0,0,0,0,0,0,0,
95435472000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95507288000,0,0,1.100,6,0,0,0,0,0,0,0,0,1.200,6,0,0,0,0,0,0,0,0,0,0,
95518705000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95539714000,0,0,1.120,6,0,0,0,0,0,0,0,0,1.220,6,0,0,0,0,0,0,0,0,0,0,
95554013000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95554068000,0,0,1.130,6,0,0,0,0,0,0,0,0,1.230,6,0,0,0,0,0,0,0,0,0,0,
95600322000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95600322000,0,0,1.120,6,0,0,0,0,0,0,0,0,1.220,6,0,0,0,0,0,0,0,0,0,0,
95634288000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95634288000,0,0,1.130,6,0,0,0,0,0,0,0,0,1.220,6,0,0,0,0,0,0,0,0,0,0,
95746536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95746591000,0,0,1.120,6,0,0,0,0,0,0,0,0,1.220,6,0,0,0,0,0,0,0,0,0,0,
95748494000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95800596000,0,0,1.110,6,0,0,0,0,0,0,0,0,1.210,6,0,0,0,0,0,0,0,0,0,0,
95807118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95808876000,0,0,1.100,6,0,0,0,0,0,0,0,0,1.200,6,0,0,0,0,0,0,0,0,0,0,
95828357000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95920024000,0,0,1.080,6,0,0,0,0,0,0,0,0,1.180,6,0,0,0,0,0,0,0,0,0,0,
95958492000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100206257000,0,0,1.100,6,0,0,0,0,0,0,0,0,1.170,6,0,0,0,0,0,0,0,0,0,0,
100243316000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100243371000,0,0,1.100,6,0,0,0,0,0,0,0,0,1.190,6,0,0,0,0,0,0,0,0,0,0,
100259294000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100259349000,0,0,1.100,6,0,0,0,0,0,0,0,0,1.170,6,0,0,0,0,0,0,0,0,0,0,
100304805000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100306352000,0,0,1.100,6,0,0,0,0,0,0,0,0,1.180,6,0,0,0,0,0,0,0,0,0,0,
100308045000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100329054000,0,0,1.100,6,0,0,0,0,0,0,0,0,1.170,6,0,0,0,0,0,0,0,0,0,0,
100343656000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100343711000,0,0,1.100,6,0,0,0,0,0,0,0,0,1.160,6,0,0,0,0,0,0,0,0,0,0,
100352320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100352375000,0,0,1.090,6,0,0,0,0,0,0,0,0,1.170,6,0,0,0,0,0,0,0,0,0,0,
100411242000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100411297000,0,0,1.100,6,0,0,0,0,0,0,0,0,1.180,6,0,0,0,0,0,0,0,0,0,0,
100433050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100433105000,0,0,1.100,6,0,0,0,0,0,0,0,0,1.190,6,0,0,0,0,0,0,0,0,0,0,
100433618000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100600238000,0,0,1.120,6,0,0,0,0,0,0,0,0,1.220,6,0,0,0,0,0,0,0,0,0,0,
100602473000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100608443000,0,0,1.130,6,0,0,0,0,0,0,0,0,1.230,6,0,0,0,0,0,0,0,0,0,0,
100621575000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
