Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
100832791000,0,0,0.530,5,0.000,0,0.000,0,0.000,0,0.000,0,0.630,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100933291000,0,0,0.550,5,0.000,0,0.000,0,0.000,0,0.000,0,0.640,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100942792000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100947291000,0,0,0.540,5,0.000,0,0.000,0,0.000,0,0.000,0,0.640,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101013042000,0,0,0.550,5,0.000,0,0.000,0,0.000,0,0.000,0,0.640,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101016041000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101034042000,0,0,0.560,5,0.000,0,0.000,0,0.000,0,0.000,0,0.650,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101127542000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101134541000,0,0,0.560,5,0.000,0,0.000,0,0.000,0,0.000,0,0.660,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101212666000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101219666000,0,0,0.570,5,0.000,0,0.000,0,0.000,0,0.000,0,0.660,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101302291000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101309291000,0,0,0.550,5,0.000,0,0.000,0,0.000,0,0.000,0,0.660,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101355791000,0,0,0.570,5,0.550,5,0.000,0,0.000,0,0.000,0,0.640,5,0.660,5,0.000,0,0.000,0,0.000,0,0,0,
101413041000,0,0,0.570,5,0.000,0,0.000,0,0.000,0,0.000,0,0.640,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101413417000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101427043000,0,0,0.560,5,0.000,0,0.000,0,0.000,0,0.000,0,0.660,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101439791000,0,0,0.570,5,0.560,5,0.000,0,0.000,0,0.000,0,0.640,5,0.660,5,0.000,0,0.000,0,0.000,0,0,0,
101631041000,0,0,0.570,5,0.000,0,0.000,0,0.000,0,0.000,0,0.640,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101638042000,0,0,0.570,5,0.550,5,0.000,0,0.000,0,0.000,0,0.640,5,0.650,5,0.000,0,0.000,0,0.000,0,0,0,
101702542000,0,0,0.570,5,0.560,5,0.550,5,0.000,0,0.000,0,0.640,5,0.650,5,0.660,5,0.000,0,0.000,0,0,0,
101714166000,0,0,0.580,5,0.560,5,0.550,5,0.000,0,0.000,0,0.650,10,0.660,5,0.000,0,0.000,0,0.000,0,0,0,
101714917000,0,0,0.580,5,0.570,5,0.550,5,0.000,0,0.000,0,0.650,10,0.670,5,0.000,0,0.000,0,0.000,0,0,0,
101715793000,0,0,0.570,5,0.550,5,0.000,0,0.000,0,0.000,0,0.670,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101715917000,0,0,0.550,5,0.000,0,0.000,0,0.000,0,0.000,0,0.670,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101719792000,0,0,0.570,5,0.000,0,0.000,0,0.000,0,0.000,0,0.640,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101719917000,0,0,0.570,5,0.560,5,0.000,0,0.000,0,0.000,0,0.640,5,0.660,5,0.000,0,0.000,0,0.000,0,0,0,
101722043000,0,0,0.570,10,0.560,5,0.000,0,0.000,0,0.000,0,0.640,5,0.660,10,0.000,0,0.000,0,0.000,0,0,0,
101731791000,0,0,0.570,5,0.560,5,0.550,5,0.000,0,0.000,0,0.660,10,0.670,5,0.000,0,0.000,0,0.000,0,0,0,
101731916000,0,0,0.570,5,0.550,5,0.000,0,0.000,0,0.000,0,0.660,5,0.670,5,0.000,0,0.000,0,0.000,0,0,0,
101735791000,0,0,0.570,10,0.000,0,0.000,0,0.000,0,0.000,0,0.640,5,0.660,5,0.000,0,0.000,0,0.000,0,0,0,
101735916000,0,0,0.570,10,0.560,5,0.000,0,0.000,0,0.000,0,0.640,5,0.660,10,0.000,0,0.000,0,0.000,0,0,0,
101747792000,0,0,0.580,5,0.570,5,0.560,5,0.000,0,0.000,0,0.650,5,0.660,10,0.000,0,0.000,0,0.000,0,0,0,
101748292000,0,0,0.580,5,0.570,10,0.000,0,0.000,0,0.000,0,0.650,5,0.660,5,0.670,5,0.000,0,0.000,0,0,0,
101751792000,0,0,0.570,10,0.550,5,0.000,0,0.000,0,0.000,0,0.660,5,0.670,10,0.000,0,0.000,0,0.000,0,0,0,
101752167000,0,0,0.570,5,0.550,5,0.000,0,0.000,0,0.000,0,0.660,5,0.670,5,0.000,0,0.000,0,0.000,0,0,0,
101811791000,0,0,0.570,10,0.000,0,0.000,0,0.000,0,0.000,0,0.640,5,0.660,5,0.000,0,0.000,0,0.000,0,0,0,
101812166000,0,0,0.570,10,0.560,5,0.000,0,0.000,0,0.000,0,0.640,5,0.660,10,0.000,0,0.000,0,0.000,0,0,0,
101819791000,0,0,0.570,5,0.560,5,0.550,5,0.000,0,0.000,0,0.660,10,0.670,5,0.000,0,0.000,0,0.000,0,0,0,
101819917000,0,0,0.570,5,0.550,5,0.000,0,0.000,0,0.000,0,0.660,5,0.670,5,0.000,0,0.000,0,0.000,0,0,0,
101946041000,0,0,0.550,5,0.000,0,0.000,0,0.000,0,0.000,0,0.670,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
