Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
113849041000,0,0,0.010,20,0.000,0,0.000,0,0.000,0,0.000,0,0.080,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113852416000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113912416000,0,0,0.010,20,0.000,0,0.000,0,0.000,0,0.000,0,0.080,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113913291000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113933291000,0,0,0.010,20,0.000,0,0.000,0,0.000,0,0.000,0,0.080,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113933666000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113949041000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113953666000,0,0,0.010,20,0.000,0,0.000,0,0.000,0,0.000,0,0.080,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113953791000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114013916000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114033916000,0,0,0.010,20,0.000,0,0.000,0,0.000,0,0.000,0,0.080,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114034291000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114049041000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114054417000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114114416000,0,0,0.010,20,0.000,0,0.000,0,0.000,0,0.000,0,0.080,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114114541000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114134542000,0,0,0.010,20,0.000,0,0.000,0,0.000,0,0.000,0,0.080,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114134916000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114149166000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114154916000,0,0,0.010,20,0.000,0,0.000,0,0.000,0,0.000,0,0.080,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114155041000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114215041000,0,0,0.010,20,0.000,0,0.000,0,0.000,0,0.000,0,0.080,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114215666000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114235666000,0,0,0.010,20,0.000,0,0.000,0,0.000,0,0.000,0,0.080,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114237667000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114249166000,0,0,0.010,25,0.000,0,0.000,0,0.000,0,0.000,0,0.080,25,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
114256916000,0,0,0.010,45,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.080,25,0.000,0,0.000,0,0.000,0,0,0,
114257042000,0,0,0.010,45,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.000,0,0.000,0,0,0,
114317044000,0,0,0.010,40,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.080,20,0.000,0,0.000,0,0.000,0,0,0,
114318292000,0,0,0.010,45,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.000,0,0.000,0,0,0,
114338417000,0,0,0.010,40,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.080,20,0.000,0,0.000,0,0.000,0,0,0,
114338791000,0,0,0.010,45,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.000,0,0.000,0,0,0,
114349166000,0,0,0.010,45,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.000,0,0.000,0,0,0,
114358916000,0,0,0.010,45,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.000,0,0.000,0,0,0,
114418916000,0,0,0.010,40,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.080,20,0.000,0,0.000,0,0.000,0,0,0,
114419291000,0,0,0.010,45,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.060,5,0.080,20,0.000,0,0.000,0,0,0,
114439291000,0,0,0.010,40,0.000,0,0.000,0,0.000,0,0.000,0,0.040,20,0.080,20,0.000,0,0.000,0,0.000,0,0,0,
