Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
110541921000,0,0,0.030,6,0.000,0,0.000,0,0.000,0,0.000,0,0.100,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
110542045000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
110550668000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
110610667000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
110612418000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
110632417000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
110634168000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
110654293000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
110656668000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
110716792000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
110719792000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
110739917000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
110742418000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
110802417000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
110802667000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
110822792000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
110825292000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
110845417000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
110845792000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
110905919000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
110908168000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
110928291000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
110928916000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
110948916000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
110949541000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
111009666000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
111010667000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
111030667000,0,0,0.030,6,0.020,6,0.000,0,0.000,0,0.000,0,0.100,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
111031416000,0,0,0.030,6,0.020,11,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
111039541000,0,0,0.030,6,0.020,11,0.010,5,0.000,0,0.000,0,0.100,6,0.120,10,0.140,6,0.000,0,0.000,0,0,0,
111051417000,0,0,0.030,6,0.020,6,0.010,5,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
111052418000,0,0,0.030,6,0.020,11,0.010,5,0.000,0,0.000,0,0.100,6,0.120,10,0.140,6,0.000,0,0.000,0,0,0,
111112542000,0,0,0.030,6,0.020,6,0.010,5,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
111114793000,0,0,0.030,6,0.020,11,0.010,5,0.000,0,0.000,0,0.100,6,0.120,10,0.140,6,0.000,0,0.000,0,0,0,
111134917000,0,0,0.030,6,0.020,11,0.010,5,0.000,0,0.000,0,0.100,6,0.120,10,0.140,6,0.000,0,0.000,0,0,0,
111154918000,0,0,0.030,6,0.020,6,0.010,5,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
111157167000,0,0,0.030,6,0.020,11,0.010,5,0.000,0,0.000,0,0.100,6,0.120,10,0.140,6,0.000,0,0.000,0,0,0,
111217168000,0,0,0.030,6,0.020,6,0.010,5,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
111217418000,0,0,0.030,6,0.020,11,0.010,5,0.000,0,0.000,0,0.100,6,0.120,10,0.140,6,0.000,0,0.000,0,0,0,
111237416000,0,0,0.030,6,0.020,6,0.010,5,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
111239416000,0,0,0.030,6,0.020,11,0.010,5,0.000,0,0.000,0,0.100,6,0.120,10,0.140,6,0.000,0,0.000,0,0,0,
111259416000,0,0,0.030,6,0.020,11,0.010,5,0.000,0,0.000,0,0.100,6,0.120,10,0.140,6,0.000,0,0.000,0,0,0,
111319416000,0,0,0.030,6,0.020,6,0.010,5,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
111320916000,0,0,0.030,6,0.020,11,0.010,5,0.000,0,0.000,0,0.100,6,0.120,10,0.140,6,0.000,0,0.000,0,0,0,
111340917000,0,0,0.030,6,0.020,6,0.010,5,0.000,0,0.000,0,0.100,6,0.120,5,0.140,6,0.000,0,0.000,0,0,0,
111342791000,0,0,0.030,6,0.020,11,0.010,5,0.000,0,0.000,0,0.100,6,0.120,10,0.140,6,0.000,0,0.000,0,0,0,
111352793000,0,0,0.020,17,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.120,10,0.140,6,0.000,0,0.000,0,0,0,
111352917000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111356419000,0,0,0.020,12,0.010,10,0.000,0,0.000,0,0.000,0,0.090,6,0.110,10,0.140,6,0.000,0,0.000,0,0,0,
111416417000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111420292000,0,0,0.020,12,0.010,10,0.000,0,0.000,0,0.000,0,0.090,6,0.110,10,0.140,6,0.000,0,0.000,0,0,0,
111440418000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111442167000,0,0,0.020,12,0.010,10,0.000,0,0.000,0,0.000,0,0.090,6,0.110,10,0.140,6,0.000,0,0.000,0,0,0,
111502292000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111502420000,0,0,0.020,12,0.010,10,0.000,0,0.000,0,0.000,0,0.090,6,0.110,10,0.140,6,0.000,0,0.000,0,0,0,
111522417000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111526042000,0,0,0.020,12,0.010,10,0.000,0,0.000,0,0.000,0,0.090,6,0.110,10,0.140,6,0.000,0,0.000,0,0,0,
111546042000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111549167000,0,0,0.020,12,0.010,10,0.000,0,0.000,0,0.000,0,0.090,6,0.110,10,0.140,6,0.000,0,0.000,0,0,0,
111609167000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111609792000,0,0,0.020,12,0.010,10,0.000,0,0.000,0,0.000,0,0.090,6,0.110,10,0.140,6,0.000,0,0.000,0,0,0,
111629791000,0,0,0.020,12,0.010,10,0.000,0,0.000,0,0.000,0,0.090,6,0.110,10,0.140,6,0.000,0,0.000,0,0,0,
111649917000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111651667000,0,0,0.020,12,0.010,10,0.000,0,0.000,0,0.000,0,0.090,6,0.110,10,0.140,6,0.000,0,0.000,0,0,0,
111711792000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111713043000,0,0,0.020,12,0.010,10,0.000,0,0.000,0,0.000,0,0.090,6,0.110,10,0.140,6,0.000,0,0.000,0,0,0,
111733041000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111734291000,0,0,0.020,12,0.010,10,0.000,0,0.000,0,0.000,0,0.090,6,0.110,10,0.140,6,0.000,0,0.000,0,0,0,
111754416000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111754541000,0,0,0.020,12,0.010,10,0.000,0,0.000,0,0.000,0,0.090,6,0.110,10,0.140,6,0.000,0,0.000,0,0,0,
111803041000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111814542000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
111816042000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111836041000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
111836541000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111856541000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
111856917000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111916916000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
111917542000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111937541000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
111938792000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
111958917000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
112002917000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
112022917000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
112023416000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
112043416000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
112045292000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
112105416000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
112105667000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
112125791000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
112126166000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
112146166000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
112206291000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
112206416000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
112226417000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
112227167000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
112247291000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
112248041000,0,0,0.020,12,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.140,6,0.000,0,0.000,0,0,0,
112308041000,0,0,0.020,12,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.140,6,0.000,0,0.000,0,0.000,0,0,0,
112308166000,0,0,0.020,6,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112309666000,0,0,0.020,6,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
112329791000,0,0,0.020,6,0.000,0,0.000,0,0.000,0,0.000,0,0.090,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112329916000,0,0,0.020,6,0.010,5,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
112347417000,0,0,0.030,6,0.010,5,0.000,0,0.000,0,0.000,0,0.100,6,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
112349167000,0,0,0.030,6,0.020,5,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.000,0,0.000,0,0.000,0,0,0,
112409169000,0,0,0.030,6,0.000,0,0.000,0,0.000,0,0.000,0,0.100,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112411293000,0,0,0.030,6,0.020,5,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.000,0,0.000,0,0.000,0,0,0,
112431293000,0,0,0.030,6,0.000,0,0.000,0,0.000,0,0.000,0,0.100,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112433043000,0,0,0.030,6,0.020,5,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.000,0,0.000,0,0.000,0,0,0,
112453043000,0,0,0.030,6,0.000,0,0.000,0,0.000,0,0.000,0,0.100,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112455291000,0,0,0.030,6,0.020,5,0.000,0,0.000,0,0.000,0,0.100,6,0.120,5,0.000,0,0.000,0,0.000,0,0,0,
112515416000,0,0,0.030,6,0.000,0,0.000,0,0.000,0,0.000,0,0.100,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112515541000,0,0,0.030,6,0.010,6,0.000,0,0.000,0,0.000,0,0.100,6,0.130,6,0.000,0,0.000,0,0.000,0,0,0,
112515917000,0,0,0.030,6,0.020,5,0.010,6,0.000,0,0.000,0,0.100,6,0.120,5,0.130,6,0.000,0,0.000,0,0,0,
112527291000,0,0,0.020,11,0.010,6,0.000,0,0.000,0,0.000,0,0.090,6,0.120,5,0.130,6,0.000,0,0.000,0,0,0,
112527667000,0,0,0.020,6,0.010,6,0.000,0,0.000,0,0.000,0,0.090,6,0.130,6,0.000,0,0.000,0,0.000,0,0,0,
112529917000,0,0,0.020,6,0.010,11,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.130,6,0.000,0,0.000,0,0,0,
112549917000,0,0,0.020,6,0.010,6,0.000,0,0.000,0,0.000,0,0.090,6,0.130,6,0.000,0,0.000,0,0.000,0,0,0,
112550542000,0,0,0.020,6,0.010,11,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.130,6,0.000,0,0.000,0,0,0,
112610543000,0,0,0.020,6,0.010,6,0.000,0,0.000,0,0.000,0,0.090,6,0.130,6,0.000,0,0.000,0,0.000,0,0,0,
112611044000,0,0,0.020,6,0.010,11,0.000,0,0.000,0,0.000,0,0.090,6,0.110,5,0.130,6,0.000,0,0.000,0,0,0,
112631167000,0,0,0.020,6,0.010,6,0.000,0,0.000,0,0.000,0,0.090,6,0.130,6,0.000,0,0.000,0,0.000,0,0,0,
