Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95056167000,0,0,5.100,5,0.000,0,0.000,0,0.000,0,0.000,0,5.700,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95249166000,0,0,5.100,5,0.000,0,0.000,0,0.000,0,0.000,0,5.800,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95420917000,0,0,5.050,5,0.000,0,0.000,0,0.000,0,0.000,0,5.800,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95502417000,0,0,5.150,5,0.000,0,0.000,0,0.000,0,0.000,0,5.800,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95952917000,0,0,4.970,5,0.000,0,0.000,0,0.000,0,0.000,0,5.800,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100623541000,0,0,5.000,5,0.000,0,0.000,0,0.000,0,0.000,0,5.700,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100822043000,0,0,4.970,5,0.000,0,0.000,0,0.000,0,0.000,0,5.700,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100826916000,0,0,4.970,5,0.000,0,0.000,0,0.000,0,0.000,0,5.650,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101146667000,0,0,4.970,5,0.000,0,0.000,0,0.000,0,0.000,0,5.700,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101413292000,0,0,4.900,5,0.000,0,0.000,0,0.000,0,0.000,0,5.700,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101423667000,0,0,4.970,5,0.000,0,0.000,0,0.000,0,0.000,0,5.700,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101441667000,0,0,4.900,5,0.000,0,0.000,0,0.000,0,0.000,0,5.700,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101510292000,0,0,4.970,5,0.000,0,0.000,0,0.000,0,0.000,0,5.700,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101902791000,0,0,4.970,5,0.000,0,0.000,0,0.000,0,0.000,0,5.650,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102035542000,0,0,4.970,5,0.000,0,0.000,0,0.000,0,0.000,0,5.550,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102206541000,0,0,4.890,5,0.000,0,0.000,0,0.000,0,0.000,0,5.550,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102313792000,0,0,4.970,5,0.000,0,0.000,0,0.000,0,0.000,0,5.550,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102315417000,0,0,4.890,5,0.000,0,0.000,0,0.000,0,0.000,0,5.550,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102321917000,0,0,4.970,5,0.000,0,0.000,0,0.000,0,0.000,0,5.550,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102339166000,0,0,4.890,5,0.000,0,0.000,0,0.000,0,0.000,0,5.550,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102345291000,0,0,4.970,5,0.000,0,0.000,0,0.000,0,0.000,0,5.550,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102431417000,0,0,4.970,5,0.000,0,0.000,0,0.000,0,0.000,0,5.650,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102446666000,0,0,4.970,5,0.000,0,0.000,0,0.000,0,0.000,0,5.700,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
