Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
85505533000,0,0,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91554984000,0,0,0.060,20,0.005,4,0,0,0,0,0,0,0.260,20,0,0,0,0,0,0,0,0,0,0,
95054022000,0,0,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95054022000,0,0,0.085,20,0.005,4,0,0,0,0,0,0,0.285,20,0,0,0,0,0,0,0,0,0,0,
103652472000,0,0,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103652472000,0,0,0.115,20,0.005,4,0,0,0,0,0,0,0.315,20,0,0,0,0,0,0,0,0,0,0,
105021119000,0,0,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105021119000,0,0,0.145,20,0.005,4,0,0,0,0,0,0,0.345,20,0,0,0,0,0,0,0,0,0,0,
105338343000,0,0,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105338343000,0,0,0.175,20,0.005,4,0,0,0,0,0,0,0.375,20,0,0,0,0,0,0,0,0,0,0,
105949175000,0.375,1,0.175,20,0.005,4,0,0,0,0,0,0,0.375,20,0,0,0,0,0,0,0,0,1,1,105949174000
105949175000,0.375,1,0.175,20,0.005,4,0,0,0,0,0,0,0.375,19,0,0,0,0,0,0,0,0,0,1,
105954491000,0.375,1,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
105954491000,0.375,1,0.175,20,0.005,4,0,0,0,0,0,0,0.375,20,0,0,0,0,0,0,0,0,0,1,
112003036000,0.375,1,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
112003036000,0.375,1,0.150,20,0.005,4,0,0,0,0,0,0,0.350,20,0,0,0,0,0,0,0,0,0,1,
113325229000,0.375,1,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
113325229000,0.375,1,0.125,20,0.005,4,0,0,0,0,0,0,0.325,20,0,0,0,0,0,0,0,0,0,1,
113618114000,0.375,1,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
113826484000,0.375,1,0.130,20,0.005,4,0,0,0,0,0,0,0.330,20,0,0,0,0,0,0,0,0,0,1,
121440828000,0.375,1,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
121440828000,0.375,1,0.160,20,0.005,4,0,0,0,0,0,0,0.360,20,0,0,0,0,0,0,0,0,0,1,
122525331000,0.375,1,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
122525331000,0.375,1,0.135,20,0.005,4,0,0,0,0,0,0,0.335,20,0,0,0,0,0,0,0,0,0,1,
132230516000,0.375,1,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
132230516000,0.375,1,0.165,20,0.005,4,0,0,0,0,0,0,0.365,20,0,0,0,0,0,0,0,0,0,1,
134004186000,0.375,1,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
