Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
91947416000,0,0,2.400,20,0.000,0,0.000,0,0.000,0,0.000,0,2.900,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91950041000,0,0,2.400,40,0.000,0,0.000,0,0.000,0,0.000,0,2.900,40,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91954416000,0,0,2.400,60,0.000,0,0.000,0,0.000,0,0.000,0,2.900,60,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91956169000,0,0,2.400,20,0.000,0,0.000,0,0.000,0,0.000,0,2.900,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91958792000,0,0,2.400,40,0.000,0,0.000,0,0.000,0,0.000,0,2.900,40,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92004291000,0,0,2.400,60,0.000,0,0.000,0,0.000,0,0.000,0,2.900,60,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92018917000,0,0,2.400,40,0.000,0,0.000,0,0.000,0,0.000,0,2.900,40,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92033916000,0,0,2.400,60,0.000,0,0.000,0,0.000,0,0.000,0,2.900,60,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92038917000,0,0,2.400,20,0.000,0,0.000,0,0.000,0,0.000,0,2.900,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92039042000,0,0,2.400,60,0.000,0,0.000,0,0.000,0,0.000,0,2.900,60,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92059166000,0,0,2.400,20,0.000,0,0.000,0,0.000,0,0.000,0,2.900,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92059291000,0,0,2.400,40,0.000,0,0.000,0,0.000,0,0.000,0,2.900,40,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92119291000,0,0,2.300,20,0.000,0,0.000,0,0.000,0,0.000,0,2.800,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92120291000,0,0,2.300,60,0.000,0,0.000,0,0.000,0,0.000,0,2.800,60,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
