Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
92507292000,0,0,9.700,20,0.000,0,0.000,0,0.000,0,0.000,0,10.200,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92509418000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92643541000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92650541000,0,0,9.100,20,0.040,5,0.000,0,0.000,0,0.000,0,9.600,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92653791000,0,0,9.100,60,0.040,5,0.000,0,0.000,0,0.000,0,9.600,60,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92701541000,0,0,9.100,20,0.040,5,0.000,0,0.000,0,0.000,0,9.600,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92701666000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92706541000,0,0,9.000,40,0.040,5,0.000,0,0.000,0,0.000,0,9.500,40,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92706666000,0,0,9.000,80,0.040,5,0.000,0,0.000,0,0.000,0,9.500,80,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92712791000,0,0,9.000,60,0.040,5,0.000,0,0.000,0,0.000,0,9.500,60,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92717791000,0,0,9.000,80,0.040,5,0.000,0,0.000,0,0.000,0,9.500,80,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92726666000,0,0,9.000,40,0.040,5,0.000,0,0.000,0,0.000,0,9.500,40,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92726791000,0,0,9.000,60,0.040,5,0.000,0,0.000,0,0.000,0,9.500,60,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92729917000,0,0,9.000,80,0.040,5,0.000,0,0.000,0,0.000,0,9.500,80,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92746791000,0,0,9.000,40,0.040,5,0.000,0,0.000,0,0.000,0,9.500,40,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
