Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
93512916000,0,0,33.500,10,0.000,0,0.000,0,0.000,0,0.000,0,38.500,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93516791000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,38.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93536791000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,38.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93546666000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,38.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93556666000,0,0,33.500,10,0.000,0,0.000,0,0.000,0,0.000,0,38.500,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93602541000,0,0,33.500,10,0.000,0,0.000,0,0.000,0,0.000,0,38.500,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93656541000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,38.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93716417000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,38.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93726417000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,38.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93736416000,0,0,33.500,10,0.000,0,0.000,0,0.000,0,0.000,0,38.500,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93741667000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,38.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93746416000,0,0,33.500,10,0.000,0,0.000,0,0.000,0,0.000,0,38.500,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93746541000,0,0,33.500,10,0.000,0,0.000,0,0.000,0,0.000,0,38.500,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93750166000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,38.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93753291000,0,0,33.500,30,0.000,0,0.000,0,0.000,0,0.000,0,38.500,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93805291000,0,0,34.000,10,33.500,10,0.000,0,0.000,0,0.000,0,38.500,10,39.000,10,0.000,0,0.000,0,0.000,0,0,0,
93805416000,0,0,34.000,20,0.000,0,0.000,0,0.000,0,0.000,0,39.000,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93807042000,0,0,34.000,30,0.000,0,0.000,0,0.000,0,0.000,0,39.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93825542000,0,0,34.000,30,0.000,0,0.000,0,0.000,0,0.000,0,39.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93845167000,0,0,34.000,10,0.000,0,0.000,0,0.000,0,0.000,0,39.000,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93845291000,0,0,34.000,10,0.000,0,0.000,0,0.000,0,0.000,0,39.000,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93848042000,0,0,34.000,30,0.000,0,0.000,0,0.000,0,0.000,0,39.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93848166000,0,0,34.000,20,0.000,0,0.000,0,0.000,0,0.000,0,39.000,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93851167000,0,0,34.000,30,0.000,0,0.000,0,0.000,0,0.000,0,39.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93903166000,0,0,34.000,10,0.000,0,0.000,0,0.000,0,0.000,0,39.000,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93903291000,0,0,34.000,10,0.000,0,0.000,0,0.000,0,0.000,0,39.000,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93906416000,0,0,34.000,20,0.000,0,0.000,0,0.000,0,0.000,0,39.000,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93909416000,0,0,34.000,30,0.000,0,0.000,0,0.000,0,0.000,0,39.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93909541000,0,0,34.000,20,0.000,0,0.000,0,0.000,0,0.000,0,39.000,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93916041000,0,0,34.000,30,0.000,0,0.000,0,0.000,0,0.000,0,39.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93935916000,0,0,34.000,30,0.000,0,0.000,0,0.000,0,0.000,0,39.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93954291000,0,0,34.500,10,34.000,10,0.000,0,0.000,0,0.000,0,39.000,10,39.500,10,0.000,0,0.000,0,0.000,0,0,0,
93954416000,0,0,34.500,10,0.000,0,0.000,0,0.000,0,0.000,0,39.500,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93954541000,0,0,34.500,20,0.000,0,0.000,0,0.000,0,0.000,0,39.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93956541000,0,0,34.500,30,0.000,0,0.000,0,0.000,0,0.000,0,39.500,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
94014541000,0,0,34.500,30,0.000,0,0.000,0,0.000,0,0.000,0,39.500,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
94024042000,0,0,34.500,10,0.000,0,0.000,0,0.000,0,0.000,0,39.500,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
94027416000,0,0,34.500,20,0.000,0,0.000,0,0.000,0,0.000,0,39.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
94028667000,0,0,34.500,30,0.000,0,0.000,0,0.000,0,0.000,0,39.500,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
94047541000,0,0,34.500,20,0.000,0,0.000,0,0.000,0,0.000,0,39.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
94052916000,0,0,34.500,30,0.000,0,0.000,0,0.000,0,0.000,0,39.500,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
