Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
90523073000,0,0,124.000,10,0,0,0,0,0,0,0,0,128.000,10,0,0,0,0,0,0,0,0,0,0,
90636647000,0,0,124.000,10,123.000,10,0,0,0,0,0,0,128.000,10,128.500,10,0,0,0,0,0,0,0,0,
90643888000,0,0,124.000,10,0,0,0,0,0,0,0,0,128.000,10,0,0,0,0,0,0,0,0,0,0,
90643888000,0,0,124.000,10,122.500,10,0,0,0,0,0,0,128.000,10,128.500,10,0,0,0,0,0,0,0,0,
90751877000,0,0,124.000,10,0,0,0,0,0,0,0,0,128.000,10,0,0,0,0,0,0,0,0,0,0,
90751877000,0,0,124.000,10,123.000,10,0,0,0,0,0,0,128.000,10,128.500,10,0,0,0,0,0,0,0,0,
90854884000,0,0,124.000,10,0,0,0,0,0,0,0,0,128.000,10,0,0,0,0,0,0,0,0,0,0,
90854884000,0,0,124.000,10,123.500,10,0,0,0,0,0,0,128.000,10,129.000,10,0,0,0,0,0,0,0,0,
90857265000,0,0,124.000,10,0,0,0,0,0,0,0,0,128.000,10,0,0,0,0,0,0,0,0,0,0,
90857265000,0,0,124.000,10,123.500,10,0,0,0,0,0,0,128.000,10,129.500,10,0,0,0,0,0,0,0,0,
90910005000,0,0,124.000,10,0,0,0,0,0,0,0,0,128.000,10,0,0,0,0,0,0,0,0,0,0,
90910005000,0,0,124.000,10,123.500,10,0,0,0,0,0,0,128.000,10,130.000,10,0,0,0,0,0,0,0,0,
90950257000,0,0,124.000,10,0,0,0,0,0,0,0,0,128.000,10,0,0,0,0,0,0,0,0,0,0,
90950257000,0,0,124.000,10,123.500,10,0,0,0,0,0,0,128.000,10,130.500,10,0,0,0,0,0,0,0,0,
91019888000,0,0,124.000,10,0,0,0,0,0,0,0,0,128.000,10,0,0,0,0,0,0,0,0,0,0,
91019888000,0,0,124.000,10,123.500,10,0,0,0,0,0,0,128.000,10,129.500,10,0,0,0,0,0,0,0,0,
91022131000,0,0,124.000,10,0,0,0,0,0,0,0,0,128.000,10,0,0,0,0,0,0,0,0,0,0,
91022131000,0,0,124.000,10,123.500,10,0,0,0,0,0,0,128.000,10,130.000,10,0,0,0,0,0,0,0,0,
91022254000,0,0,124.000,10,0,0,0,0,0,0,0,0,128.000,10,0,0,0,0,0,0,0,0,0,0,
91022254000,0,0,124.000,10,123.500,10,0,0,0,0,0,0,128.000,10,130.500,10,0,0,0,0,0,0,0,0,
91054040000,0,0,123.500,10,0,0,0,0,0,0,0,0,130.500,10,0,0,0,0,0,0,0,0,0,0,
91054040000,0,0,125.500,10,123.500,10,0,0,0,0,0,0,129.500,10,130.500,10,0,0,0,0,0,0,0,0,
91054130000,0,0,125.500,10,0,0,0,0,0,0,0,0,129.500,10,0,0,0,0,0,0,0,0,0,0,
91054130000,0,0,125.500,10,125.000,10,0,0,0,0,0,0,129.500,10,130.500,10,0,0,0,0,0,0,0,0,
91121265000,0,0,125.500,10,0,0,0,0,0,0,0,0,129.500,10,0,0,0,0,0,0,0,0,0,0,
91121265000,0,0,125.500,10,125.000,10,0,0,0,0,0,0,129.500,10,131.500,10,0,0,0,0,0,0,0,0,
91208881000,0,0,125.500,10,0,0,0,0,0,0,0,0,129.500,10,0,0,0,0,0,0,0,0,0,0,
91208881000,0,0,125.500,10,125.000,10,0,0,0,0,0,0,129.500,10,131.000,10,0,0,0,0,0,0,0,0,
91210892000,0,0,125.500,10,0,0,0,0,0,0,0,0,129.500,10,0,0,0,0,0,0,0,0,0,0,
91210892000,0,0,125.500,10,125.000,10,0,0,0,0,0,0,129.500,10,131.500,10,0,0,0,0,0,0,0,0,
91219759000,0,0,125.500,10,0,0,0,0,0,0,0,0,129.500,10,0,0,0,0,0,0,0,0,0,0,
91219759000,0,0,125.500,10,125.000,10,0,0,0,0,0,0,129.500,10,130.500,10,0,0,0,0,0,0,0,0,
91222263000,0,0,125.500,10,0,0,0,0,0,0,0,0,129.500,10,0,0,0,0,0,0,0,0,0,0,
91222263000,0,0,125.500,10,125.000,10,0,0,0,0,0,0,129.500,10,131.000,10,0,0,0,0,0,0,0,0,
91223637000,0,0,125.500,10,0,0,0,0,0,0,0,0,129.500,10,0,0,0,0,0,0,0,0,0,0,
91223637000,0,0,125.500,10,125.000,10,0,0,0,0,0,0,129.500,10,131.500,10,0,0,0,0,0,0,0,0,
91308758000,0,0,125.500,10,0,0,0,0,0,0,0,0,129.500,10,0,0,0,0,0,0,0,0,0,0,
91308758000,0,0,125.500,10,125.000,10,0,0,0,0,0,0,129.500,10,130.500,10,0,0,0,0,0,0,0,0,
