Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
90907043000,0,0,33.500,10,0.000,0,0.000,0,0.000,0,0.000,0,36.500,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90913791000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,36.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90933416000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,36.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90943291000,0,0,33.500,10,0.000,0,0.000,0,0.000,0,0.000,0,36.500,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91012791000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,36.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91032416000,0,0,33.500,10,0.000,0,0.000,0,0.000,0,0.000,0,36.500,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91052042000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,36.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91111792000,0,0,33.500,10,0.000,0,0.000,0,0.000,0,0.000,0,36.500,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91131417000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,36.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91151041000,0,0,33.500,20,0.000,0,0.000,0,0.000,0,0.000,0,36.500,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91210666000,0,0,33.500,10,0.000,0,0.000,0,0.000,0,0.000,0,36.500,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91211541000,0,0,35.000,10,0.000,0,0.000,0,0.000,0,0.000,0,38.000,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91213041000,0,0,35.000,30,0.000,0,0.000,0,0.000,0,0.000,0,38.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91233166000,0,0,35.000,30,0.000,0,0.000,0,0.000,0,0.000,0,38.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91253291000,0,0,35.000,20,0.000,0,0.000,0,0.000,0,0.000,0,38.000,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91258542000,0,0,35.000,10,0.000,0,0.000,0,0.000,0,0.000,0,38.000,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91401542000,0,0,35.000,30,0.000,0,0.000,0,0.000,0,0.000,0,38.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91421541000,0,0,35.000,20,0.000,0,0.000,0,0.000,0,0.000,0,38.000,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91427042000,0,0,35.000,30,0.000,0,0.000,0,0.000,0,0.000,0,38.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91427666000,0,0,35.000,10,34.000,10,0.000,0,0.000,0,0.000,0,37.000,10,38.000,10,0.000,0,0.000,0,0.000,0,0,0,
91428041000,0,0,34.000,20,0.000,0,0.000,0,0.000,0,0.000,0,37.000,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91438416000,0,0,34.000,30,0.000,0,0.000,0,0.000,0,0.000,0,37.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91450417000,0,0,34.000,10,0.000,0,0.000,0,0.000,0,0.000,0,37.000,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91450542000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91907166000,0,0,35.000,10,0.000,0,0.000,0,0.000,0,0.000,0,38.000,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91907291000,0,0,35.000,30,0.000,0,0.000,0,0.000,0,0.000,0,38.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91927416000,0,0,35.000,20,0.000,0,0.000,0,0.000,0,0.000,0,38.000,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91933292000,0,0,35.000,30,0.000,0,0.000,0,0.000,0,0.000,0,38.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91953416000,0,0,35.000,20,0.000,0,0.000,0,0.000,0,0.000,0,38.000,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91959292000,0,0,35.000,30,0.000,0,0.000,0,0.000,0,0.000,0,38.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92019416000,0,0,35.000,20,0.000,0,0.000,0,0.000,0,0.000,0,38.000,20,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92034041000,0,0,35.000,30,0.000,0,0.000,0,0.000,0,0.000,0,38.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92053791000,0,0,35.000,30,0.000,0,0.000,0,0.000,0,0.000,0,38.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92113542000,0,0,35.000,30,0.000,0,0.000,0,0.000,0,0.000,0,38.000,30,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
