Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
103459369000,0,0,39.500,10,0,0,0,0,0,0,0,0,44.500,10,0,0,0,0,0,0,0,0,0,0,
103707529000,0,0,39.500,20,0,0,0,0,0,0,0,0,44.500,20,0,0,0,0,0,0,0,0,0,0,
103718504000,0,0,39.500,10,0,0,0,0,0,0,0,0,44.500,10,0,0,0,0,0,0,0,0,0,0,
103723004000,0,0,39.500,20,0,0,0,0,0,0,0,0,44.500,20,0,0,0,0,0,0,0,0,0,0,
104042986000,0,0,39.500,10,0,0,0,0,0,0,0,0,44.500,10,0,0,0,0,0,0,0,0,0,0,
104042986000,0,0,39.500,10,39.000,10,0,0,0,0,0,0,44.000,10,44.500,10,0,0,0,0,0,0,0,0,
104043004000,0,0,39.000,10,0,0,0,0,0,0,0,0,44.000,10,0,0,0,0,0,0,0,0,0,0,
104043004000,0,0,39.000,20,0,0,0,0,0,0,0,0,44.000,20,0,0,0,0,0,0,0,0,0,0,
104232991000,0,0,39.000,10,0,0,0,0,0,0,0,0,44.000,10,0,0,0,0,0,0,0,0,0,0,
104232991000,0,0,39.000,10,38.500,10,0,0,0,0,0,0,43.500,10,44.000,10,0,0,0,0,0,0,0,0,
104234504000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.500,10,0,0,0,0,0,0,0,0,0,0,
104234504000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.500,20,0,0,0,0,0,0,0,0,0,0,
104253004000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.500,10,0,0,0,0,0,0,0,0,0,0,
104323729000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.500,20,0,0,0,0,0,0,0,0,0,0,
104601575000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
104733004000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
104805880000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
104821918000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
104823898000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
104824888000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
104828848000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
104829838000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
104837857000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
104838847000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
104923991000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
104925504000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
105232974000,0,0,0,0,0,0,0,0,0,0,0,0,43.000,3,0,0,0,0,0,0,0,0,0,0,
105232974000,0,0,39.000,10,0,0,0,0,0,0,0,0,43.000,3,44.000,10,0,0,0,0,0,0,0,0,
105232982000,0,0,39.000,20,0,0,0,0,0,0,0,0,43.000,3,44.000,20,0,0,0,0,0,0,0,0,
110102998000,0,0,39.000,10,0,0,0,0,0,0,0,0,43.000,3,44.000,10,0,0,0,0,0,0,0,0,
110102998000,0,0,39.000,10,38.500,10,0,0,0,0,0,0,43.000,3,43.500,10,44.000,10,0,0,0,0,0,0,
110103004000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
110108004000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
110110356000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
110111004000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
110113004000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
110133004000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
110154004000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
110154504000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
110155401000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
110156004000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
110202331000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
110211439000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
110213004000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
110215504000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
110221004000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
110537504000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
110628542000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
110629532000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
110632502000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
110633492000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
110635571000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
110636561000,0,0,38.500,20,0,0,0,0,0,0,0,0,43.000,3,43.500,20,0,0,0,0,0,0,0,0,
110641004000,0,0,38.500,10,0,0,0,0,0,0,0,0,43.000,3,43.500,10,0,0,0,0,0,0,0,0,
