Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
103452857000,0,0,432.500,10,0,0,0,0,0,0,0,0,447.500,10,0,0,0,0,0,0,0,0,0,0,
103453003000,0,0,432.500,20,0,0,0,0,0,0,0,0,447.500,20,0,0,0,0,0,0,0,0,0,0,
103823005000,0,0,432.500,10,0,0,0,0,0,0,0,0,447.500,10,0,0,0,0,0,0,0,0,0,0,
103823005000,0,0,434.000,10,432.500,10,0,0,0,0,0,0,447.500,10,449.000,10,0,0,0,0,0,0,0,0,
103823131000,0,0,434.000,10,433.500,10,432.500,10,0,0,0,0,447.500,10,448.000,10,449.000,10,0,0,0,0,0,0,
103823504000,0,0,434.000,10,433.500,10,0,0,0,0,0,0,448.000,10,449.000,10,0,0,0,0,0,0,0,0,
103823504000,0,0,434.000,20,433.500,10,0,0,0,0,0,0,448.000,10,449.000,20,0,0,0,0,0,0,0,0,
103823640000,0,0,434.000,20,0,0,0,0,0,0,0,0,449.000,20,0,0,0,0,0,0,0,0,0,0,
104046603000,0,0,434.000,10,0,0,0,0,0,0,0,0,449.000,10,0,0,0,0,0,0,0,0,0,0,
104046603000,0,0,436.500,10,434.000,10,0,0,0,0,0,0,449.000,10,451.500,10,0,0,0,0,0,0,0,0,
104046616000,0,0,436.500,10,0,0,0,0,0,0,0,0,451.500,10,0,0,0,0,0,0,0,0,0,0,
104046616000,0,0,436.500,20,0,0,0,0,0,0,0,0,451.500,20,0,0,0,0,0,0,0,0,0,0,
104242985000,0,0,436.500,10,0,0,0,0,0,0,0,0,451.500,10,0,0,0,0,0,0,0,0,0,0,
104242985000,0,0,438.500,10,436.500,10,0,0,0,0,0,0,451.500,10,453.500,10,0,0,0,0,0,0,0,0,
104243004000,0,0,438.500,10,0,0,0,0,0,0,0,0,453.500,10,0,0,0,0,0,0,0,0,0,0,
104243004000,0,0,438.500,20,0,0,0,0,0,0,0,0,453.500,20,0,0,0,0,0,0,0,0,0,0,
104243010000,0,0,438.500,20,438.000,10,0,0,0,0,0,0,452.000,10,453.500,20,0,0,0,0,0,0,0,0,
104243065000,0,0,438.500,20,438.000,10,437.500,10,0,0,0,0,452.000,10,452.500,10,453.500,20,0,0,0,0,0,0,
104243131000,0,0,438.500,20,437.500,10,0,0,0,0,0,0,452.500,10,453.500,20,0,0,0,0,0,0,0,0,
104243131000,0,0,438.500,20,438.000,10,437.500,10,0,0,0,0,452.500,10,453.000,10,453.500,20,0,0,0,0,0,0,
104243175000,0,0,438.500,20,438.000,10,0,0,0,0,0,0,453.000,10,453.500,20,0,0,0,0,0,0,0,0,
104243175000,0,0,438.500,20,438.000,20,0,0,0,0,0,0,453.000,20,453.500,20,0,0,0,0,0,0,0,0,
104243284000,0,0,438.500,20,438.000,10,0,0,0,0,0,0,453.000,10,453.500,20,0,0,0,0,0,0,0,0,
104243385000,0,0,438.500,20,0,0,0,0,0,0,0,0,453.500,20,0,0,0,0,0,0,0,0,0,0,
104252991000,0,0,438.500,10,0,0,0,0,0,0,0,0,453.500,10,0,0,0,0,0,0,0,0,0,0,
104252991000,0,0,438.500,10,436.500,10,0,0,0,0,0,0,451.500,10,453.500,10,0,0,0,0,0,0,0,0,
104253004000,0,0,436.500,10,0,0,0,0,0,0,0,0,451.500,10,0,0,0,0,0,0,0,0,0,0,
104253004000,0,0,436.500,20,0,0,0,0,0,0,0,0,451.500,20,0,0,0,0,0,0,0,0,0,0,
104253008000,0,0,438.000,10,436.500,20,0,0,0,0,0,0,451.500,20,452.000,10,0,0,0,0,0,0,0,0,
104253248000,0,0,436.500,20,0,0,0,0,0,0,0,0,451.500,20,0,0,0,0,0,0,0,0,0,0,
104342994000,0,0,436.500,10,0,0,0,0,0,0,0,0,451.500,10,0,0,0,0,0,0,0,0,0,0,
104342994000,0,0,438.000,10,436.500,10,0,0,0,0,0,0,451.500,10,453.000,10,0,0,0,0,0,0,0,0,
104343004000,0,0,438.000,10,0,0,0,0,0,0,0,0,453.000,10,0,0,0,0,0,0,0,0,0,0,
104343004000,0,0,438.000,20,0,0,0,0,0,0,0,0,453.000,20,0,0,0,0,0,0,0,0,0,0,
104343019000,0,0,438.000,20,437.500,10,0,0,0,0,0,0,452.500,10,453.000,20,0,0,0,0,0,0,0,0,
104343098000,0,0,438.000,20,437.500,20,0,0,0,0,0,0,452.500,20,453.000,20,0,0,0,0,0,0,0,0,
104343206000,0,0,438.000,20,437.500,10,0,0,0,0,0,0,452.500,10,453.000,20,0,0,0,0,0,0,0,0,
104343222000,0,0,438.000,20,0,0,0,0,0,0,0,0,453.000,20,0,0,0,0,0,0,0,0,0,0,
105202986000,0,0,438.000,10,0,0,0,0,0,0,0,0,453.000,10,0,0,0,0,0,0,0,0,0,0,
105202986000,0,0,438.000,10,436.500,10,0,0,0,0,0,0,451.500,10,453.000,10,0,0,0,0,0,0,0,0,
105203004000,0,0,436.500,10,0,0,0,0,0,0,0,0,451.500,10,0,0,0,0,0,0,0,0,0,0,
105203004000,0,0,436.500,20,0,0,0,0,0,0,0,0,451.500,20,0,0,0,0,0,0,0,0,0,0,
105203013000,0,0,437.500,10,436.500,20,0,0,0,0,0,0,451.500,20,452.500,10,0,0,0,0,0,0,0,0,
105203135000,0,0,436.500,20,0,0,0,0,0,0,0,0,451.500,20,0,0,0,0,0,0,0,0,0,0,
105402983000,0,0,436.500,10,0,0,0,0,0,0,0,0,451.500,10,0,0,0,0,0,0,0,0,0,0,
105402983000,0,0,438.000,10,436.500,10,0,0,0,0,0,0,451.500,10,453.000,10,0,0,0,0,0,0,0,0,
105403004000,0,0,438.000,10,0,0,0,0,0,0,0,0,453.000,10,0,0,0,0,0,0,0,0,0,0,
105403004000,0,0,438.000,20,0,0,0,0,0,0,0,0,453.000,20,0,0,0,0,0,0,0,0,0,0,
105403028000,0,0,438.000,20,437.500,10,0,0,0,0,0,0,452.000,10,453.000,20,0,0,0,0,0,0,0,0,
105403095000,0,0,438.000,20,437.500,20,0,0,0,0,0,0,452.000,10,452.500,10,453.000,20,0,0,0,0,0,0,
105403150000,0,0,438.000,20,437.500,10,0,0,0,0,0,0,452.500,10,453.000,20,0,0,0,0,0,0,0,0,
105403314000,0,0,438.000,20,0,0,0,0,0,0,0,0,453.000,20,0,0,0,0,0,0,0,0,0,0,
105622971000,0,0,438.000,10,0,0,0,0,0,0,0,0,453.000,10,0,0,0,0,0,0,0,0,0,0,
105622971000,0,0,439.500,10,438.000,10,0,0,0,0,0,0,453.000,10,454.500,10,0,0,0,0,0,0,0,0,
105623009000,0,0,439.500,10,439.000,10,438.000,10,0,0,0,0,453.000,10,453.500,10,454.500,10,0,0,0,0,0,0,
105623504000,0,0,439.500,10,439.000,10,0,0,0,0,0,0,453.500,10,454.500,10,0,0,0,0,0,0,0,0,
105623504000,0,0,439.500,20,439.000,10,0,0,0,0,0,0,453.500,10,454.500,20,0,0,0,0,0,0,0,0,
105623630000,0,0,439.500,20,0,0,0,0,0,0,0,0,454.500,20,0,0,0,0,0,0,0,0,0,0,
