Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
84508876000,0,0,2020.000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84508876000,0,0,2020.000,5,0,0,0,0,0,0,0,0,2300.000,5,0,0,0,0,0,0,0,0,0,0,
85049018000,0,0,2020.000,5,0,0,0,0,0,0,0,0,2300.000,5,2320.000,1,0,0,0,0,0,0,0,0,
85049018000,0,0,2020.000,5,1990.000,1,0,0,0,0,0,0,2300.000,5,2320.000,1,0,0,0,0,0,0,0,0,
85054535000,0,0,1990.000,1,0,0,0,0,0,0,0,0,2300.000,5,2320.000,1,0,0,0,0,0,0,0,0,
85056307000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2300.000,5,2320.000,1,0,0,0,0,0,0,0,0,
90853884000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2260.000,5,2300.000,5,2320.000,1,0,0,0,0,0,0,
90853884000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2300.000,5,2320.000,1,0,0,0,0,0,0,
90854979000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
90854981000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2220.000,5,2260.000,5,2320.000,1,0,0,0,0,0,0,
90854992000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2220.000,5,2320.000,1,0,0,0,0,0,0,0,0,
90855002000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2220.000,10,2320.000,1,0,0,0,0,0,0,0,0,
91057470000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2220.000,10,2320.000,1,0,0,0,0,0,0,0,0,
91057470000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2220.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91059038000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2220.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91059236000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2320.000,1,0,0,0,0,0,0,0,0,0,0,
91059236000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91059284000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,10,2320.000,1,0,0,0,0,0,0,0,0,
91125010000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91125052000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2270.000,5,2320.000,1,0,0,0,0,0,0,
91125250000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91125261000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,10,2320.000,1,0,0,0,0,0,0,0,0,
91125375000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91125613000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2270.000,5,2320.000,1,0,0,0,0,0,0,
91125792000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91125806000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,10,2320.000,1,0,0,0,0,0,0,0,0,
91138653000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2260.000,10,2320.000,1,0,0,0,0,0,0,0,0,
91138653000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91138680000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91138809000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2270.000,5,2320.000,1,0,0,0,0,0,0,
91138956000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2260.000,5,2270.000,5,2320.000,1,0,0,0,0,0,0,
91138956000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91139000000,0,0,2000.000,5,1990.000,6,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91139138000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91139138000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2260.000,5,2270.000,5,2320.000,1,0,0,0,0,0,0,
91139149000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2270.000,5,2320.000,1,0,0,0,0,0,0,
91139262000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91139273000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,10,2320.000,1,0,0,0,0,0,0,0,0,
91215185000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91215187000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91215315000,0,0,2010.000,5,2000.000,5,1990.000,1,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91215315000,0,0,2010.000,5,2000.000,5,1990.000,1,0,0,0,0,2260.000,5,2270.000,5,2320.000,1,0,0,0,0,0,0,
91215431000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2260.000,5,2270.000,5,2320.000,1,0,0,0,0,0,0,
91215441000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2270.000,5,2320.000,1,0,0,0,0,0,0,
91215556000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91215567000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,10,2320.000,1,0,0,0,0,0,0,0,0,
91351065000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91351066000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91351181000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91351555000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,10,2320.000,1,0,0,0,0,0,0,0,0,
91403167000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91403285000,0,0,2000.000,10,1990.000,1,0,0,0,0,0,0,2260.000,10,2320.000,1,0,0,0,0,0,0,0,0,
91645855000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2260.000,10,2320.000,1,0,0,0,0,0,0,0,0,
91645859000,0,0,2000.000,5,1990.000,1,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91646742000,0,0,2000.000,5,1990.000,6,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
91646742000,0,0,2000.000,5,1990.000,6,0,0,0,0,0,0,2260.000,5,2270.000,5,2320.000,1,0,0,0,0,0,0,
91646822000,0,0,2000.000,5,1990.000,6,0,0,0,0,0,0,2260.000,5,2320.000,1,0,0,0,0,0,0,0,0,
