Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
84507776000,0,0,0,0,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84507776000,0,0,1690.000,5,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84632914000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84632914000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1960.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84636014000,0,0,1690.000,5,0,0,0,0,0,0,0,0,1960.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84636139000,0,0,1690.000,5,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84636140000,0,0,1690.000,5,1680.000,5,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84636150000,0,0,1690.000,5,1680.000,5,0,0,0,0,0,0,1970.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84636264000,0,0,1690.000,5,0,0,0,0,0,0,0,0,1970.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84636275000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1970.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84636382000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84636393000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1960.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84636503000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84636514000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1970.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84636628000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84636639000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1960.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84636878000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84636889000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1970.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84637083000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84637094000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1960.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84637324000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84637327000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1970.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84708870000,0,0,1690.000,5,0,0,0,0,0,0,0,0,1970.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84709031000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1970.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84713959000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84713970000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1960.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84713972000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84713980000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1970.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84714839000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84714845000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1960.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84715489000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84715500000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1970.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84720877000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84720887000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1960.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84721564000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84721574000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1970.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84725921000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
84725932000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1960.000,5,1980.000,5,0,0,0,0,0,0,0,0,
84726668000,0,0,1690.000,10,0,0,0,0,0,0,0,0,1980.000,5,0,0,0,0,0,0,0,0,0,0,
