Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
83040005000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83040000000
83040005000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,
83045006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,83045000000
83045006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,
83050006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,83050000000
83050006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,
83055006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,83055000000
83055006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,
83100005000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,83100000000
83100005000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,
83105006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,83105000000
83105006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,
83110006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,83110000000
83110006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,
83115006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,83115000000
83115006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,
83120006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,83120000000
83120006000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,
83125005000,0.000,0,0,0,0,0,0,0,0,0,0,0,138.000,1,0,0,0,0,0,0,0,0,0,0,83125000000
