Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
84501172000,0,0,2530.000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84501172000,0,0,2530.000,5,0,0,0,0,0,0,0,0,2830.000,5,0,0,0,0,0,0,0,0,0,0,
85045987000,0,0,2530.000,5,0,0,0,0,0,0,0,0,2830.000,5,2840.000,1,0,0,0,0,0,0,0,0,
85045987000,0,0,2530.000,5,2510.000,1,0,0,0,0,0,0,2830.000,5,2840.000,1,0,0,0,0,0,0,0,0,
90517529000,0,0,2530.000,5,0,0,0,0,0,0,0,0,2830.000,5,2840.000,1,0,0,0,0,0,0,0,0,
90517529000,0,0,2530.000,5,0,0,0,0,0,0,0,0,2830.000,5,0,0,0,0,0,0,0,0,0,0,
90517529000,0,0,2590.000,1,2530.000,5,0,0,0,0,0,0,2830.000,5,0,0,0,0,0,0,0,0,0,0,
90517529000,0,0,2590.000,1,2530.000,5,0,0,0,0,0,0,2830.000,5,2920.000,1,0,0,0,0,0,0,0,0,
90517833000,0,0,2590.000,1,0,0,0,0,0,0,0,0,2830.000,5,2920.000,1,0,0,0,0,0,0,0,0,
90517833000,0,0,2620.000,5,2590.000,1,0,0,0,0,0,0,2830.000,5,2920.000,1,0,0,0,0,0,0,0,0,
90517833000,0,0,2620.000,5,2590.000,1,0,0,0,0,0,0,2920.000,1,0,0,0,0,0,0,0,0,0,0,
90517834000,0,0,2620.000,5,2590.000,1,0,0,0,0,0,0,2890.000,5,2920.000,1,0,0,0,0,0,0,0,0,
90810955000,0,0,2590.000,1,0,0,0,0,0,0,0,0,2890.000,5,2920.000,1,0,0,0,0,0,0,0,0,
90813500000,0,0,2600.000,5,2590.000,1,0,0,0,0,0,0,2890.000,5,2920.000,1,0,0,0,0,0,0,0,0,
91124729000,0,0,2600.000,5,0,0,0,0,0,0,0,0,2890.000,5,2920.000,1,0,0,0,0,0,0,0,0,
91124729000,0,0,2600.000,5,0,0,0,0,0,0,0,0,2840.000,1,2890.000,5,2920.000,1,0,0,0,0,0,0,
91124729000,0,0,2600.000,5,2510.000,1,0,0,0,0,0,0,2840.000,1,2890.000,5,2920.000,1,0,0,0,0,0,0,
91124729000,0,0,2600.000,5,2510.000,1,0,0,0,0,0,0,2840.000,1,2890.000,5,0,0,0,0,0,0,0,0,
91124988000,0,0,2510.000,1,0,0,0,0,0,0,0,0,2840.000,1,2890.000,5,0,0,0,0,0,0,0,0,
91131342000,0,0,2540.000,5,2510.000,1,0,0,0,0,0,0,2840.000,1,2890.000,5,0,0,0,0,0,0,0,0,
