Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
83050007000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83050000000
83050007000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,
83055008000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,83055000000
83055008000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,
83100007000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,83100000000
83100007000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,
83105007000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,83105000000
83105007000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,
83110007000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,83110000000
83110007000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,
83115008000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,83115000000
83115008000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,
83120008000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,83120000000
83120008000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,
83125007000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,83125000000
83125007000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,
83130006000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,83130000000
83130006000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,
83135007000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,83135000000
83135007000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,
83140007000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,83140000000
83140007000,0.000,0,0,0,0,0,0,0,0,0,0,0,288.000,1,0,0,0,0,0,0,0,0,0,0,
